"herocard.passive_skill.description.addmana.all.allies","Semua sekutu mendapat sedikit mana."
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","Tampik Pelemahan Generasi Mana"
"herocard.passive_skill.title.resist.manareduction","Tampik Pengurangan Mana"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","Tampik Pengurangan Mana yang Diberdayakan"
"herocard.passive_skill.title.resist.maxhealthreduction","Tampik Pengurangan Kesehatan Maks"
"herocard.passive_skill.title.resist.poison","Tampik Racun"
"herocard.passive_skill.title.resist.poison.burn.bleed","Tampik Racun, Terbakar, dan Berdarah"
"herocard.passive_skill.title.resist.possession.allstatuseffects","Tampik Kerasukan"
"herocard.passive_skill.title.resist.sand","Tampik Pasir"
"herocard.passive_skill.title.resist.specialblocking","Tampik Pemblokiran Serangan Khusus"
"herocard.passive_skill.title.resist.specialblocking.with_effect.healthboost.addmana","Berdaya Tampik Pemblokiran Serangan Khusus"
"herocard.passive_skill.title.resist.stopmanageneration","Tampik Penghentian Generasi Mana"
"herocard.passive_skill.title.resist.water","Tampik Air"
"herocard.passive_skill.title.resist_all_defense_effects","Sifat: 
Bingkai Lentur"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","Tampik Status Pelemahan dari Antek"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","Tampik Pengenyahan Antek"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","Tampik Efek Negatif Antek"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","Tampik Efek Negatif Antek secara Superior"
"herocard.passive_skill.title.resistnewfamiliars.parasite","Tampik Iblis"
"herocard.passive_skill.title.resistnewfamiliars.parasite.bigparasite","Tampik Iblis dan Iblis Mega"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","Tampik Status Pelemahan"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","Mengurangi Peluang Hidup Kembali"
"herocard.passive_skill.title.revivalhealthmodifier.all.enemies.excluding.boss","Pengurangan Kesehatan Kebangkitan"
"herocard.passive_skill.title.revive_chance_nine_lives","Sembilan Nyawa"
"herocard.passive_skill.title.reviveinalternativeformwithinsanitychance","Pakta Eldritch"
"herocard.passive_skill.title.revivewithchance","Bangkit"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Tempo Cepat: Balada"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Tempo Cepat: Tarian"
"herocard.passive_skill.title.sharereceiveddamage","Membagikan Kerusakan yang Diterima"
"herocard.passive_skill.title.short.generic","Pasif"
"herocard.passive_skill.title.short.league","Keuntungan"
"herocard.passive_skill.title.short.league.non_featured","Kerugian"
"herocard.passive_skill.title.short.trait","Sifat"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","Topeng Elemen"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","Penguasaan Pasukan"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","Penguasaan Pasukan"
"herocard.passive_skill.title.specialdamagereduction","Pengurangan Kerusakan Keahlian Khusus"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","Pengurangan Kerusakan Keahlian Khusus"
"herocard.passive_skill.title.startbattlewitheffect.addmana","Mulai Pertempuran dengan Mana"
"herocard.passive_skill.title.statmodifier.attack","Buas"
"herocard.passive_skill.title.statmodifier.defense","Tempurung"
"herocard.passive_skill.title.statmodifier.health","Resiliensi"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","Meningkatkan Serangan Efek Status"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","Pengurangan Pelemahan Serangan"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","Pengurangan Pelemahan Serangan"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","Meningkatkan Serangan Efek Status"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","Pengurangan Pelemahan Serangan"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","Meningkatkan Pertahanan Efek Status"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","Pengurangan Pelemahan Pertahanan"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","Pengurangan Pelemahan Pertahanan"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","Meningkatkan Pertahanan Efek Status"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","Pengurangan Pelemahan Pertahanan"
"herocard.passive_skill.title.statuseffectdurationmodifier","Menambah Durasi Genjotan"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Mengurangi Durasi Pelemahan"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Mengurangi Durasi Pelemahan Pertahanan"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Menambah Durasi Genjotan"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","Menyalin Pelemahan saat Pembersihan"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","Semangat Pemburu"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","Kulit Halus Gargoyle"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","Kulit Batu Gargoyle"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","Genjotan Generasi Mana dari Pelemahan"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","Topeng Elemen"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies","Pemanggil Benih"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Pemanggil Benih"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Antek Lendir saat Kalah"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Antek Lendir saat Kalah"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Antek Lendir saat Kalah"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Antek Lendir saat Kalah"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Antek Lendir saat Kalah"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","Pemisahan Antek Lendir"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","Pemisahan Antek Lendir"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","Pemisahan Antek Lendir"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","Pemisahan Antek Lendir"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Pemisahan Antek Lendir"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","Memanggil pada Pembakaran"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","Memanggil saat Rusak Seiring Waktu"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","Memanggil Antek saat Pelemahan Pertahanan"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","Pemanggil Pipit"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Pemanggil Anak Pohon Terkutuk"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Pemanggil Benih"
"herocard.passive_skill.title.taunt","Abaikan Ejekan"
"herocard.passive_skill.title.titan_dread_damage_minions","Rasa Takut"
"herocard.passive_skill.title.titan_dread_damage_minions_15","Rasa Takut"
"herocard.passive_skill.title.titan_dread_damage_minions_16","Rasa Takut"
"herocard.passive_skill.title.titan_dread_damage_minions_17","Rasa Takut"
"herocard.passive_skill.title.titan_resist_15","Titan"
"herocard.passive_skill.title.titan_resist_16","Titan"
"herocard.passive_skill.title.titan_resist_17","Titan"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","Toon"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","Genjotan Transformasi"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Genjotan Transformasi"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Pelemahan Transformasi"
"herocard.passive_skill.title.wither.all.enemies","Layu"
