"specials.name.a_cozy_break","استراحة مريحة"
"specials.name.pulsar_blast","انفجار النجم النابض"
"specials.name.pulsarstrike","قاذف الضربات"
"specials.name.pulverizing_ham","لحم الخنزير الساحق"
"specials.name.pummeling","ملاكمة"
"specials.name.punishing_shot","طلقة العقاب"
"specials.name.punishing_shot_pve","طلقة العقاب"
"specials.name.punishing_strike","ضربة العقاب"
"specials.name.puppy_tales","حكايات الجرو"
"specials.name.pure_shot","طلقة نقية"
"specials.name.purification","تطهير"
"specials.name.purifying_flame","لهب التنقية"
"specials.name.purifying_flame_pve","لهب التنقية"
"specials.name.purifying_hit","ضربة منقية"
"specials.name.purifying_ki","كاي التطهير"
"specials.name.purifying_light","الضوء المنقي"
"specials.name.purifying_strike","إصابة منقية"
"specials.name.purple_beetloid_bite","عضة البيتلويد الأرجواني"
"specials.name.pursuing_shot","الطلقة المُلاحقة"
"specials.name.putrid_perfume","العطر الفاسد"
"specials.name.puzzling_paint","الطلاء المبهم"
"specials.name.puzzling_riddle","اللغز المبهم"
"specials.name.qilin_blade","نصل كيلين"
"specials.name.queen_of_cards","ملكة الورق"
"specials.name.queen_of_the_depths","امبراطورة الأعماق"
"specials.name.queen_of_the_depths_final","امبراطورة الأعماق"
"specials.name.queens_blood_poisoning","مغيب الأسى"
"specials.name.queens_curse","عاصفة رملية"
"specials.name.queens_curse_pve","عاصفة رملية"
"specials.name.quick_and_nimble","سرعة وخفة"
"specials.name.rabbits_watch","ساعة الأرنب"
"specials.name.raccoon_bite","عضة الراكون"
"specials.name.radiant_comeback","عودة مشعة"
"specials.name.radiant_rapid_fire","إطلاق إشعاعي سريع"
"specials.name.radiant_shackles","القيود المشعة"
"specials.name.radiant_sweep_dragon_pve","تمشيط إشعاعي"
"specials.name.radiating_frost","صقيع مشع"
"specials.name.rage_of_grimnir","سخط جريمنر"
"specials.name.raging_tempest","عاصفة الغضب"
"specials.name.rain_of_arrows","وابل من السهام"
"specials.name.rain_of_fire","وابل من النيران"
"specials.name.rain_of_fire_ultimate_boss","وابل من النيران"
"specials.name.raising_morale","رفع المعنويات"
"specials.name.rally_of_the_deep","حشد الأعماق"
"specials.name.ramming_pulverizer","التصادم الساحق"
"specials.name.ramming_rush","فورة التصادم"
"specials.name.rapid_shots","طلقات سريعة"
"specials.name.rattle_of_confusion","تمتمة الارتباك"
"specials.name.ravaging_talons","مخالب مدمرة"
"specials.name.ravening_blade","نصل قاطع"
"specials.name.ravenous_pounce","انقضاض شرس"
"specials.name.ravens_vigil","حارس الغراب"
"specials.name.ravens_watch","حراسة الغربان"
"specials.name.ray_strike","ضربة الشعاع"
"specials.name.razor_smile","ابتسامة الشفرة"
"specials.name.reanimated_spite","حقد منبعث"
"specials.name.reanimated_spite_pve","حقد منبعث"
"specials.name.reckless_charge","هجوم متهوّر"
"specials.name.reckless_finisher","المصفّي المتهوّر"
"specials.name.reckless_slash","شطب متهوّر"
"specials.name.reckless_stab","طعنة متهوّرة"
"specials.name.reckless_swing","تسديدة متهوّرة"
"specials.name.reckless_sword_swings","تلويحات متهورة بالسيف"
"specials.name.red_lizard_charge","هجوم سحالي التمويه الحمراء"
"specials.name.red_shoes","حذاء أحمر"
"specials.name.red_sparks_dragon_pve","الشرارات الحمراء"
"specials.name.reef_blast","انفجار مرجاني"
"specials.name.reflecting_stance","موقف الانعكاس"
"specials.name.regal_claws","المخالب الملكية"
"specials.name.regal_spearhead","رأس الرمح الملكي"
"specials.name.regeneration","إعادة توليد"
"specials.name.rejuvenating_elixir","إكسير تجديد النشاط"
"specials.name.rejuvenating_leap","قفزة مجددة للشباب"
"specials.name.relaxing_riddle","لغز الاسترخاء"
"specials.name.relentless_brawler","المشاكس العنيد"
"specials.name.remedies_and_diseases","العلاجات والأمراض"
"specials.name.rending_dagger","خنجر التمزيق"
"specials.name.reporting_for_duty","المجيء لأداء الواجب"
"specials.name.resolute_spirit","الروح الحازمة"
"specials.name.resolute_spirit2","الروح الحازمة"
"specials.name.restoration_and_annihilation","الإصلاح والإبادة"
"specials.name.resurrection_of_the_fallen","إعادة إحياء الساقطين"
"specials.name.resurrection_of_the_fallen_kemeny","إعادة إحياء الساقطين"
"specials.name.revengeful_smite","ضرب انتقامي"
"specials.name.reverse_recovery","التعافي العكسي"
"specials.name.reversed_lifeforce","حياة عكسية"
"specials.name.revitalizing_melody","لحن منشط"
"specials.name.revitalizing_orb","كرة إنعاش"
"specials.name.revitalizing_sludge","إنعاش الحمأة"
"specials.name.reviving_touch","لمسة إعادة الإحياء"
"specials.name.rhythm_of_havoc","إيقاع الخراب"
"specials.name.riches_to_poor","من الغنى إلى الفقر"
"specials.name.ricochet_bolt","صاعقة ارتدادية"
"specials.name.riddle_of_the_moon","لغز القمر"
"specials.name.riddle_of_the_sun","لغز الشمس"
"specials.name.riders_arrow","سهم الفارس"
"specials.name.riders_lance","حربة الفارس"
"specials.name.rift_blade","النصل الفالق"
"specials.name.righteous_pulverizer","الساحق الصالح"
"specials.name.righteous_revenge","الانتقام العادل"
"specials.name.righteous_stance","موقف الصلاح"
"specials.name.righteous_strike","ضربة الصلاح"
"specials.name.rime_heart","القلب القرمزي"
"specials.name.ring_around_the_rosie","لعبة حلقة الوردة"
"specials.name.rite_of_cuteness","كرتوني الحكم"
"specials.name.rite_of_glass","حُكم الزجاج"
"specials.name.rite_of_judgement","طقوس الحكم"
"specials.name.rite_of_protection","طقوس الحماية"
"specials.name.rites_of_inner_knowledge","طقوس المعرفة الداخلية"
"specials.name.ritual_of_judgement","طقوس الحكم"
"specials.name.ritual_of_the_deep","طقوس الأعماق"
"specials.name.ritual_of_the_elements","طقوس العناصر"
"specials.name.roadside_surprise","مفاجأة على جانب الطريق"
"specials.name.roar_of_the_panther","زئير الكوجر"
"specials.name.roasting_rooster","ديك مشوي"
"specials.name.rockfall_bash","ضربة الانهيار الصخري"
"specials.name.rod_of_freedom","عصا الحرية"
"specials.name.rod_of_torment","عصا العذاب"
"specials.name.roman_cleave","الهجوم الإسبرطي"
"specials.name.roots_of_wrath","جذور الغضب"
"specials.name.roots_of_yggdrasil","جذور إغدراسيل"
"specials.name.rose_bouquet_blast","انفجار باقة الورد"
"specials.name.rotten_raid","الغارة المتعفنة"
"specials.name.rotting_wound_dragon_pve","جرح متعفن"
"specials.name.rottman","هوس الجرذ المجنون"
"specials.name.rough_and_tumble","خشونة وتعثر"
"specials.name.royal_assault","الاعتداء الملكي"
"specials.name.royal_blades","الأنصال الملكية"
"specials.name.royal_meatball_buffet","بوفيه كرات اللحم الملكية"
"specials.name.royal_poisoner","مُسمم ملكي"
"specials.name.ruby_rush","هجوم الياقوت"
"specials.name.rude_awakening","الصحوة الفظة"
"specials.name.ruler_of_seas","حاكم البحار"
"specials.name.ruler_of_seas_deadly","حاكم البحار"
"specials.name.rural_chop","قطعة ريفية"
"specials.name.rush_of_flame","اندفاع اللهيب"
"specials.name.rushed_melody","لحن سريع"
"specials.name.rusty_blade","النصل الصدئ"
"specials.name.ruthless_derision","السخرية اللاذعة"
"specials.name.ruthless_gambit","مناورة الوحشي"
"specials.name.sable_slasher","السمور الشاطب"
"specials.name.sacrament_of_salvation","سر الخلاص المقدس"
"specials.name.sacred_horns","القرون المقدسة"
"specials.name.sacred_reflection","الانعكاس المقدس"
"specials.name.saga_of_deliverance","ملحمة الخلاص"
"specials.name.saga_of_protection","ملحمة الحماية"
"specials.name.saga_of_restoration","ملحمة التجديد"
"specials.name.salty_splash_dragon_pve","لطمة مالحة"
"specials.name.sanction_for_heresy","ملاذ للهرطقة"
"specials.name.sanctuary_of_light","ملاذ الضوء"
"specials.name.sand_cyclone","الإعصار الرملي"
"specials.name.sand_cyclone_pve","الإعصار الرملي"
"specials.name.sand_wave_rana","ركوب الأمواج"
"specials.name.sand_wave_yunan","الدمار"
"specials.name.sandstorm_strike","ضربة العاصفة الرملية"
"specials.name.sandworm_strike","ضربة الدودة الرملية"
"specials.name.sapphire_eyes","عيون الياقوت الأزرق"
"specials.name.saturated_suffering","معاناة مشبّعة"
"specials.name.savage_gobble_blue","الالتهام الوحشي"
"specials.name.savage_gobble_green","الالتهام الوحشي"
"specials.name.savage_gobble_purple","الالتهام الوحشي"
"specials.name.savage_gobble_red","الالتهام الوحشي"
"specials.name.savage_gobble_yellow","الالتهام الوحشي"
"specials.name.savage_talons","مخالب وحشية"
"specials.name.scale_of_the_newt","حراشف سمندل الماء"
"specials.name.scaly_skin","جلد بحراشف"
"specials.name.scar_of_the_depths","ندبة الأعماق"
"specials.name.scar_of_the_depths_deadly","ندبة الأعماق"
"specials.name.scarab_barrage","وابل الخنافس"
"specials.name.scarab_blitz","هجوم الخنافس الخاطف"
"specials.name.scarab_bombardment","قصف الخنفسة"
"specials.name.scarab_rush","هجوم الخنفساء"
"specials.name.scarab_throw","رمية الخنفسة"
"specials.name.scavenging_dash","اندفاع النباشين"
"specials.name.scepter_of_bundelkhand","صولجان بانديلخاند"
"specials.name.scepter_of_constellations","صولجان النجوم"
"specials.name.scion_sword","سيف السليل"
"specials.name.scion_sword_costume_white_raven","نصل السليل"
"specials.name.scorching_orb","المدار الحارق"
"specials.name.scoundrel_swing","ضربة الوغد"
"specials.name.scourge_of_joy","ويلات الفرح"
"specials.name.scourge_of_the_strong","وبال الأقوياء"
"specials.name.scouts_spyglass","منظار الجوّال"
"specials.name.scroll_of_equations","مخطوطة المعادلات"
"specials.name.scroll_of_fellowship","مخطوطة الزمالة"
"specials.name.scroll_of_navigation","مخطوطة التنقل"
"specials.name.scroll_of_new_beginnings","لفافة البدايات الجديدة"
"specials.name.scroll_of_spite","لفة الضغينة"
"specials.name.scythe_of_sorceries","منجل الأسحار"
"specials.name.seabed_pirouette","دوران القاع"
"specials.name.seabed_sissonne","سيسون قاع البحر"
"specials.name.seal_of_ares","ختم آريس"
"specials.name.seal_of_fire","خاتم النار"
"specials.name.searing_frost","الصقيع الحارق"
"specials.name.searing_strike","ضربة حارقة"
"specials.name.seastar_burst","انفجار نجم البحر"
"specials.name.seaweed_flail","كاسحة الطحالب"
"specials.name.second_skin","بشرة ثانية"
"specials.name.seeking_shots","الطلقات المتعقبة"
"specials.name.self_preservation","حب البقاء"
"specials.name.sense_of_wonder","إحساس العجب"
"specials.name.serenade_of_sedition","معزوفة الاضطراب"
"specials.name.servants_aid","مساعدة الخادم"
"specials.name.set_phase2","إطلاق العنان للظلام"
"specials.name.set_phase3","الجهد الأخير"
"specials.name.severed_seal","القفل المكسور"
"specials.name.severing_strike","ضربة قاطعة"
"specials.name.sewing_back_together","إعادة الخياطة معًا"
"specials.name.shackles_of_the_sea","قيود البحر"
"specials.name.shade_cloak","عباءة الحماية"
"specials.name.shadow_link","رابط فولاذي"
"specials.name.shadow_lunge","طعنة الظل"
"specials.name.shadow_monster_form","ضربة الشعوذة القاطعة"
"specials.name.shadow_sidestep","تفادي الظل"
"specials.name.shadow_strike","ضربة الظل"
"specials.name.shadow_sweep","اجتياح الظل"
"specials.name.shady_concerto","المعزوفة المريبة"
"specials.name.shapeshifters_deception","خداع المُشَكِل"
"specials.name.shards_of_sun","شظايا الشمس"
"specials.name.shared_compassion","العاطفة المشتركة"
"specials.name.shared_visage","الملامح المشتركة"
"specials.name.shark_bite","عضة القرش"
"specials.name.sharp_cut","قطعة حادة"
"specials.name.sharp_knife","سكين حاد"
"specials.name.sharp_stingers","لوادغ حادة"
"specials.name.shatter_psyche","روح التحطيم"
"specials.name.shatter_soul","الروح المحطمة"
"specials.name.shattering_shriek","صيحة محطمة"
"specials.name.shattering_warcry","نداء الجيوش المحطم"
"specials.name.shearing_treatment","العلاج الحارق"
"specials.name.shed_skin","انسلاخ الجلد"
"specials.name.shieldmaidens_protection","حصانة حاملة الدرع"
"specials.name.shifting_mindless_attack","هجوم تحول بلا وعي"
"specials.name.shimmering_shield","الدرع اللامع"
"specials.name.shock_bolt","صدمة الصاعقة"
"specials.name.shock_ultimatum","إنذار أخير صادم"
"specials.name.shocking_news","أخبار مفاجئة"
"specials.name.shrill_announcement","الإعلان الصاخب"
"specials.name.shuriken_storm","عاصفة الشوريكن"
"specials.name.shy_jab_dragon_pve","اللكمة الخجولة"
"specials.name.sickening_glow","اللمعان البغيض"
"specials.name.sickle_of_eradication","منجل الإبادة"
"specials.name.sickle_of_wu","منجل وو"
"specials.name.sickle_trouble","المنجل المشكلة"
"specials.name.sideswipe","ضربة جانبية"
"specials.name.sigil_of_the_sun","ختم الشمس"
"specials.name.silencing_stick_up","مقاومة مسكتة"
"specials.name.silent_takedown","الهزيمة الصامتة"
"specials.name.sinister_enlace","رابطة شريرة"
"specials.name.sinister_enlace_deadly","رابطة شريرة"
"specials.name.sinister_siphon","المصاص الشرير"
"specials.name.sir_agony","نصل الاستنزاف"
"specials.name.sir_pain","منجل الانتقام"
"specials.name.situational_awareness","الوعي الظرفي"
"specials.name.sky_attack","هجوم السماء"
"specials.name.skyfall_crumble","الانهيار السماوي"
"specials.name.slash_and_support","شق ودعم"
"specials.name.slash_of_four_blades","شطب أربعة أنصال"
"specials.name.slash_of_glass_blades","ضربة النصال الزجاجية"
"specials.name.slash_of_seven_blades","شطب ثمانية أنصال"
"specials.name.slash_of_seven_daggers","شطب سبعة خناجر"
"specials.name.slash_of_seven_toons","قطع السبع شخصيات الكرتونية"
"specials.name.slash_of_stylish_blades","ضربة النصال الأنيقة"
"specials.name.slash_of_the_seven_stilettos","قطع الخناجر السبعة"
"specials.name.slash_of_the_vibrant_lion","ضربة الأسد النابض"
"specials.name.slaying_stake","عصا القتل"
"specials.name.sledge_bash","ضربة المزلجة"
"specials.name.slice_and_dice","تقسيم"
"specials.name.slice_and_dice_pve","تقسيم"
"specials.name.slime_coated_sword","السيف المطلي بالسلايم"
"specials.name.slime_serving","تقديم السلايم"
"specials.name.slime_slap","صفعة السلايم"
"specials.name.slimy_balls","كرات سلايم"
"specials.name.slingja_attack_chingiriko","هجوم سلينج جا"
"specials.name.slumber_spores","بوغ النوم"
"specials.name.slumbering_beatdown","الهزيمة الخاملة"
"specials.name.smoldering_tear_dragon_pve","الدمعة المحترقة"
"specials.name.smooth_treatment","علاج سلس"
"specials.name.snapping_jaws","الفكوك الكاسرة"
"specials.name.snowlit_slices","شرائح الثلج المضيئة"
"specials.name.soaring_blast","انفجار طائر"
"specials.name.sock_and_block","لكم وحجب"
"specials.name.solar_beam","شعاع الشمس"
"specials.name.solar_shroud","غطاء شمسي"
"specials.name.solar_strike","إصابة شمسية"
"specials.name.soldiers_curse","نسيم الرمال"
"specials.name.solid_frozen_fist","القبضة المتجمدة الصلبة"
"specials.name.song_of_calamity","أغنية الكارثة"
"specials.name.song_of_hoot_and_holler","أغنية الصياح والنداء"
"specials.name.song_of_regression","رثاء التراجع"
"specials.name.song_of_the_morass","أغنية المستنقع"
"specials.name.song_of_the_skies","أغنية السماوات"
"specials.name.songs_of_the_cherry_tree","أغنيات شجرة الكرز"
"specials.name.sonic_infusion_arrow","سهم الاندماج الصوتي"
"specials.name.sonic_roar","الزئير الصوتي"
"specials.name.sonic_wall","جدار الصوت"
"specials.name.sonorous_spear","رمح رنان"
"specials.name.soothing_melody","لحن مهدئ"
"specials.name.soothing_song","أغنية مهدئة"
"specials.name.soul_cage","استدعاء الهيكل العظمي"
"specials.name.soul_guardian","حارس الروح"
"specials.name.sour_berry_blast_dragon_pve","انفجار التوت اللاذع"
"specials.name.sparking_star_slash","ضربة النجم المشتعل"
"specials.name.sparrow_fury","غضب العصفور"
"specials.name.spartan_cleave","شق اسبارطي"
"specials.name.spartan_slash","القطع الإسبرطي"
"specials.name.spear_of_blood_pact","رمح عهد الدم"
"specials.name.spear_of_loyalty","رمح الولاء"
"specials.name.spear_of_shu","رمح شو"
"specials.name.spearwand_gale","رياح عصا الرمح"
"specials.name.spectacular_bite","عضة مذهلة"
"specials.name.spectral_visions","رؤى شبحية"
"specials.name.spectral_wings","أجنحة طيفية"
"specials.name.spectres_flail","كاسحة الطيف"
"specials.name.spell_lock","قفل التعويذة"
"specials.name.spell_of_camaraderie","تعويذة الرفقة"
"specials.name.spicy_berry_blast_dragon_pve","انفجار التوت الحار"
"specials.name.spike_burst","انفجار الرمح"
"specials.name.spilled_decoctions","مستخلصات مسكوبة"
"specials.name.spirit_arrow","سهم الروح"
"specials.name.spirit_drain","استنزاف الروح"
"specials.name.spirit_of_spring","روح الربيع"
"specials.name.spirit_of_winter","روح الشتاء"
"specials.name.spirit_rally","حشد الأرواح"
"specials.name.spirited_slash","الضربة الروحية"
"specials.name.spirits_of_the_mountain","أرواح الجبل"
"specials.name.spiritual_unity","وليمة رائعة"
"specials.name.spiritual_wire","السلك الروحي"
"specials.name.splintering_shot","ضربة الشظايا"
"specials.name.splintering_shot2","ضربة الشظايا"
"specials.name.spotting_trouble","رصد المشكلات"
"specials.name.spreading_gossip","نشر النميمة"
"specials.name.spreading_shadow","الظل المنتشر"
"specials.name.spreading_traps","الفخاخ المنتشرة"
"specials.name.sprite_ballad","أغنية الجني"
"specials.name.sprite_hymn","ترنيمة الجني"
"specials.name.squeak_of_protection","صرير الحماية"
"specials.name.squire_strike","ضربة المساعد"
"specials.name.squires_squirrel","سنجاب الحارس"
"specials.name.squish_squash_achillea","سكويش سكواش"
"specials.name.stab_of_four_blades","طعنة أربعة أنصال"
"specials.name.staff_of_domination","عصا السيطرة"
"specials.name.staff_of_mana_control","عصا التحكم في القوة"
"specials.name.staff_of_mana_control_pve","عصا التحكم في القوة"
"specials.name.staff_of_the_seastar","عصا نجمة البحر"
"specials.name.staggering_blows","الضربات الهائلة"
"specials.name.stalling_spell","تعويذة التعثر"
"specials.name.stalling_strike","ضربة التعثر"
"specials.name.stalwart_rally","تجمّع المخلصين"
"specials.name.stalwart_to_the_end","صمود حتى النهاية"
"specials.name.standing_fortress","القلعة الدائمة"
"specials.name.standing_fortress3","القلعة الدائمة"
"specials.name.star_construct","مركز النجم"
"specials.name.star_trail","أثر نجمي"
"specials.name.starplay","ستاربلاي"
"specials.name.stately_retribution","مكافأة عظيمة"
"specials.name.steel_rush","اندفاع الفولاذ"
"specials.name.stellar_beam","الشعاع النجمي"
"specials.name.sticky_express","قطار اللزوجة السريع"
"specials.name.sticky_spear","الرمح اللزج"
"specials.name.sticky_tongue","لسان لاصق"
"specials.name.stiletto_cyclone","إعصار الخناجر"
"specials.name.stolen_tarts","كعكات مسروقة"
"specials.name.stomp","سحق"
"specials.name.stone_skin","رابط الروح"
"specials.name.storm_of_blades","عاصفة السيوف"
"specials.name.strange_incense","بخور غريب"
"specials.name.strategic_slash","قطعة طيور"
"specials.name.strength_of_the_accursed","قوة الملعون"
"specials.name.strength_of_the_benemoth","قوة البهيموث"
"specials.name.strength_of_the_volcano","قوة البركان"
"specials.name.strengthening_draught","جرعة التقوية"
"specials.name.strengthening_smash","قصف التعزيز"
"specials.name.strict_standards","معايير صارمة"
"specials.name.strike_and_support","الضربة والدعم"
"specials.name.strike_from_the_shadows","ضربة من الظلال"
"specials.name.strike_from_the_skies","ضربة من السماء"
"specials.name.strike_of_a_thousand_howls","ضربة الألف عواء"
"specials.name.strike_of_the_ancients","ضربة القدماء"
"specials.name.strike_of_the_cobra","ضربة الكوبرا"
"specials.name.strike_of_the_monolith","ضربة المونوليث"
"specials.name.strike_of_the_toons","الضربة الكرتونية"
"specials.name.strike_of_the_underworld","ضربة العالم السفلي"
"specials.name.struck_by_thunder","إصابة الرعد"
"specials.name.stubby_reap","جني قصير"
"specials.name.stunning_blow","تحطيم مشلّ"
"specials.name.stunning_spear","رمح صاعق"
"specials.name.stunning_steel","الفولاذ المدهش"
"specials.name.stunning_strike","ضربة الصعق"
"specials.name.stupendous_break_in","اختراق مذهل"
"specials.name.sturdy_riposte","ردّ فاعل"
"specials.name.style_link","رابط رائع"
"specials.name.stylish_appetizer","مقبلات رائعة"
"specials.name.stylish_arrow","سهم عصري"
"specials.name.stylish_beam","شعاع عصري"
"specials.name.stylish_bolt","صاعقة عصرية"
"specials.name.stylish_chop","الضربة الأنيقة"
"specials.name.stylish_cleave","شق رائع"
"specials.name.stylish_counterattack","الهجوم المرتد الأنيق"
"specials.name.stylish_cut","قطع عصري"
"specials.name.stylish_dance","رقصة عصرية"
"specials.name.stylish_eruption","الثوران الأنيق"
"specials.name.stylish_fireball","كرة النار الأنيقة"
"specials.name.stylish_flames","نيران عصرية"
"specials.name.stylish_fury","غضب رائع"
"specials.name.stylish_heal","الشفاء الأنيق"
"specials.name.stylish_jolt","صعقة رائعة"
"specials.name.stylish_mist","ضباب عصري"
"specials.name.stylish_pulverizer","الساحق الأنيق"
"specials.name.stylish_riposte_cyprian","رد طعنة عصري"
"specials.name.stylish_slash","القطع الأنيق"
"specials.name.stylish_smash","تحطيم رائع"
"specials.name.stylish_spear","الرمح الأنيق"
"specials.name.stylish_stab","طعنة عصرية"
"specials.name.stylish_strike","الضربة الأنيقة"
"specials.name.stylish_strike_caedmon","الضربة الأنيقة"
"specials.name.stylish_strike_magni","الضربة الأنيقة"
"specials.name.stylish_vines","الكرمة العصرية"
"specials.name.stylish_warcry","صرخة الحرب الأنيقة"
"specials.name.subduing_strike","ضربة الإخضاع"
"specials.name.sublime_pastry","معجنات السمك"
"specials.name.sudden_attack","هجوم مفاجئ"
"specials.name.suffocating_smoke","دخان خانق"
"specials.name.suffocating_smoke2","دخان خانق"
"specials.name.suffocating_smoke3","دخان خانق"
"specials.name.sugar_rush","اندفاع بقوة"
"specials.name.summer_carol","ترتيلة الصيف"
"specials.name.summers_end","النهاية الجليدية"
"specials.name.summon_ballerina_fiend","استدعاء راقصات الباليه"
"specials.name.summon_celestial_guardians","استدعاء الحراس السماويين"
"specials.name.summon_rock_golems","استدعاء مخلوقات الجولم الصخرية"
"specials.name.summon_sand_golems","استدعاء مخلوقات جولم الرمال"
"specials.name.summon_temple_guardians","استدعاء حراس المعبد"
"specials.name.sunken_abyss","هاوية الغرق"
"specials.name.sunken_magma_cube","مكعب الماغما المغمور"
"specials.name.sunscreen_blast","انفجار الواقي من الشمس"
"specials.name.sunstone_glare_dragon_pve","وهج حجر الشمس"
"specials.name.super_duper_spray","الرذاذ الخارق"
"specials.name.super_porridge","حساء الشعير الخارق"
"specials.name.superb_sake","ساكي فاخر"
"specials.name.supercharged_fireball_dragon_pve","كرة نارية مندفعة جدًّا"
"specials.name.superfood_purification","تنقية الطعام الفائق"
"specials.name.supernova","المستعر الأعظم"
"specials.name.supernova_boss_phase1","المستعر الأعظم"
"specials.name.supernova_boss_phase2","المستعر الأعظم إيترنوس"
"specials.name.suppressing_ki","كاي القمع"
"specials.name.sure_fire_combustion","اشتعال أكيد للنار"
"specials.name.surprise_goo","ضربة اللزوجة المفاجئة!"
"specials.name.suspicious_stew","الحساء المريب"
"specials.name.swamp_skin","بشرة المستنقع"
"specials.name.swashbuckling_stab","طعنة المبارز الجريء"
"specials.name.sweep_the_soot","كنس السخام"
"specials.name.sweet_berry_blast_dragon_pve","انفجار التوت الحلو"
"specials.name.sweet_dreams","أحلام سعيدة"
"specials.name.swift_little_friends","أصدقاء سريعون وصغار"
"specials.name.swift_maneuvers","المناورات الخاطفة"
"specials.name.swift_stingers","لوادغ سريعة"
"specials.name.swooping_support","دعم سريع"
"specials.name.swooping_talon","مخلب الانقضاض"
"specials.name.sword_barricade","حاجز السيف"
"specials.name.sword_dance","رقصة السيف"
"specials.name.sword_of_swan_song","سيف الخاتمة"
"specials.name.sword_of_wei","سيف وي"
"specials.name.sword_of_xuvhosh","سيف شو فيروش"
"specials.name.sylvan_blessings","مباركة الغابة"
"specials.name.symphonic_pulverizer","الساحق السمفوني"
"specials.name.tackle","هاجم"
"specials.name.tactical_cut","قطعة استراتيجية"
"specials.name.tail_bash","قفزة مرتفعة"
"specials.name.tail_slam","ضربة الذيل"
"specials.name.tail_slam_deadly","ضربة الذيل"
"specials.name.tail_sting","لدغة الذيل"
"specials.name.tail_sting_deadly","لدغة الذيل"
"specials.name.tainted_axe","الفأس الملوث"
"specials.name.tambourine_solo","الدف المنفرد"
"specials.name.tangy_berry_blast_dragon_pve","انفجار التوت الحامض"
"specials.name.tangy_torture","التعذيب اللاذع"
"specials.name.tantrum_of_forest","غضب الشخصيات الكرتونية"
"specials.name.teargas_roulette","روليت الغاز المسيل للدموع"
"specials.name.teeth_of_the_river","أسنان النهر"
"specials.name.tempered_blade","النصل المقوى"
"specials.name.tentacle_jab","وكزة المجس"
"specials.name.tentacle_slash","ضربة المجس القاطعة"
"specials.name.terrifying_screech","الصيحة المخيفة"
"specials.name.terror_shriek","صرخة الرعب"
"specials.name.testudo_rock","صخرة السلحفاة"
"specials.name.testudo_roll","تدحرج السلحفاة"
"specials.name.testudo_roll_deadly","تدحرج السلحفاة"
"specials.name.thandai_trance","ثانداي ترانس"
"specials.name.the_call_to_hibernate","الدعوة إلى السبات"
"specials.name.the_dukes_investigation","تحقيق الدوق"
"specials.name.the_eagles_blessing","مباركة النسر"
"specials.name.the_mighty_crescendo","التجاهر العظيم"
"specials.name.the_perfect_throw","الرمية المثالية"
"specials.name.the_piranha_incident","حادثة البيرانا"
"specials.name.the_queens_radiance","إشراقة الملكة"
"specials.name.the_queens_speech","خطاب الملكة"
"specials.name.the_scent_of_blood","رائحة الدماء"
"specials.name.the_two_sides_of_the_moon","جانبا القمر"
"specials.name.the_undercover_investigation","التحقيق السري"
"specials.name.thieving_shot","الضربة الماكرة"
"specials.name.thorned_slam_dunk","الضربة القاضية الشائكة"
"specials.name.thousand_cuts","ألف قطع"
"specials.name.thousand_palm_strikes","ألف ضربة كف متتالية"
"specials.name.three_bandit_mice","ثلاثة فئران قطاع طرق"
"specials.name.three_blind_mice","ثلاثة فئران عمياء"
"specials.name.three_little_rams","ثلاثة خِراف صغيرة"
"specials.name.thresher_worms","ديدان الدرّاسة"
"specials.name.thrilling_clash","القتال المثير"
"specials.name.throwing_daggers","رمي الخناجر"
"specials.name.throwing_stars","رمي النجوم"
"specials.name.thunder_ultimatum","الإنذار المدوّي"
"specials.name.thunderbolt","صاعقة"
"specials.name.thundering_strike","الضربة الرعدية"
"specials.name.thunderstorm","عاصفة رعدية"
"specials.name.thunderstrike","الإنذار المدوّي"
"specials.name.tidal_force","قوة المد والجزر"
"specials.name.tidal_vortex","دوامة المد"
"specials.name.tidal_wave","الموج المحتال"
"specials.name.tidal_waves","أمواج المد"
"specials.name.tidy_up","مُرتَّب!"
"specials.name.time_rewind","إعادة الزمن"
"specials.name.timeless_timepiece","ساعة خالدة"
"specials.name.tip_of_the_spear","رأس الرمح"
"specials.name.titanbone_chain_slash","قطع سلسلة عظام العملاق"
"specials.name.titanium_antler_attack","هجوم القرون التيتانيوم"
"specials.name.titantooth_blade","نصل سن العملاق"
"specials.name.to_the_rescue","إلى الإنقاذ!"
"specials.name.tokri_of_resources","سلة الموارد"
"specials.name.tome_of_the_stag","مجلد الأيل"
"specials.name.toon_annihilation","الإبادة الكرتونية"
"specials.name.toon_athenas_bow","قوس أثينا الكرتوني"
"specials.name.toon_attack","الهجوم الكرتوني"
"specials.name.toon_barrage","الوابل الكتروني"
"specials.name.toon_bash","الضربة الكرتونية"
"specials.name.toon_bite","عضة كرتون"
"specials.name.toon_blast","الانفجار الكرتوني"
"specials.name.toon_brew","الشراب الكرتوني"
"specials.name.toon_chain","سلسلة كرتونية"
"specials.name.toon_chop","تقطيع الكرتون"
"specials.name.toon_cleave","شقّ الكرتون"
"specials.name.toon_counter","كرتون ومواجهة"
"specials.name.toon_cut","قطع كرتون"
"specials.name.toon_finisher","الشراسة الكرتونية"
"specials.name.toon_fury","الغضب الكرتوني"
"specials.name.toon_hit","الضربة الكرتونية"
"specials.name.toon_jolt","صعقة الكرتون"
"specials.name.toon_lament","الرثاء الكرتوني"
