"herocard.passive_skill.description.addmana.all.allies","Все союзники получают небольшое количество маны."
"herocard.passive_skill.title.resistnewfamiliars.parasite","Сопротивление паразитам"
"herocard.passive_skill.title.resistnewfamiliars.parasite.bigparasite","Сопротивление паразитам и мегапаразитам"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","Сопротивление недугам"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","Снижение шанса на оживление"
"herocard.passive_skill.title.revivalhealthmodifier.all.enemies.excluding.boss","Снижение здоровья при оживлении"
"herocard.passive_skill.title.revive_chance_nine_lives","Девять жизней"
"herocard.passive_skill.title.reviveinalternativeformwithinsanitychance","Зловещий пакт"
"herocard.passive_skill.title.revivewithchance","Возрождение"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Быстрый ритм: баллада"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Быстрый ритм: танец"
"herocard.passive_skill.title.sharereceiveddamage","Полученный урон делится"
"herocard.passive_skill.title.short.generic","Пассивный"
"herocard.passive_skill.title.short.league","Преимущество"
"herocard.passive_skill.title.short.league.non_featured","Ограничение"
"herocard.passive_skill.title.short.trait","Черта"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","Маска стихии"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","Мастерство: отряды"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","Мастерство: отряды"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_blue_on_special_titan_hunter_parent","Усиленные щиты при особом навыке"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_green_on_special_titan_hunter_parent","Усиленные щиты при особом навыке"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_purple_on_special_titan_hunter_parent","Усиленные щиты при особом навыке"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_red_on_special_titan_hunter_parent","Усиленные щиты при особом навыке"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_yellow_on_special_titan_hunter_parent","Усиленные щиты при особом навыке"
"herocard.passive_skill.title.specialdamagereduction","Уменьшение урона от особого навыка"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","Уменьшение урона от особого навыка"
"herocard.passive_skill.title.startbattlewitheffect.addmana","Мана в начале битвы"
"herocard.passive_skill.title.statmodifier.attack","Свирепый"
"herocard.passive_skill.title.statmodifier.defense","Панцирный"
"herocard.passive_skill.title.statmodifier.health","Стойкий"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","Увеличение эффектов атаки"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","Снижение недугов атаки"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","Снижение недугов атаки"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","Увеличение эффектов атаки"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","Снижение недугов атаки"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","Увеличение эффектов защиты"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","Снижение недугов защиты"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","Снижение недугов защиты"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","Увеличение эффектов защиты"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","Снижение недугов защиты"
"herocard.passive_skill.title.statuseffectdurationmodifier","Увеличение действия усиления"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Снижение действия недуга"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Снижение действия защитного недуга"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Увеличение действия усиления"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","Недуг копируется при снятии"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","Охотничье рвение"
"herocard.passive_skill.title.statuseffectonspecialcast.damageonhitreceived","Метка охотника на титанов"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","Мягкая кожа горгульи"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","Камнекожа горгульи"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","Усиление генерации маны от недугов"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","Маска стихии"
"herocard.passive_skill.title.stylish","Стильно!"
"herocard.passive_skill.title.stylish_epic","Стильно!"
"herocard.passive_skill.title.stylish_legendary","Стильно!"
"herocard.passive_skill.title.stylish_rare","Стильно!"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies","Заклинатель ростков"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Заклинатель ростков"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies","Заклинатель ростков"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Заклинатель ростков"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","Заклинатель ростков"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","Заклинатель ростков"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Склизкий прислужник при поражении"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Склизкий прислужник при поражении"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Склизкий прислужник при поражении"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Склизкий прислужник при поражении"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Склизкий прислужник при поражении"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","Расщепление склизкого прислужника"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","Расщепление склизкого прислужника"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","Расщепление склизкого прислужника"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","Расщепление склизкого прислужника"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Расщепление склизкого прислужника"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","Призыв при ожоге"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","Призыв при постепенном уроне"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","Призыв прислужника при ослаблении защиты"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","Повелитель воробьев"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Призыватель проклятой лозы"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Заклинатель ростков"
"herocard.passive_skill.title.targetstatedependenteffectonspecial.healthboost.checkstate.all.allies.dance","Изящный танцор"
"herocard.passive_skill.title.taunt","Игнорирование насмешек"
"herocard.passive_skill.title.titan_dread_damage_minions","Ужас"
"herocard.passive_skill.title.titan_dread_damage_minions_15","Ужас"
"herocard.passive_skill.title.titan_dread_damage_minions_16","Ужас"
"herocard.passive_skill.title.titan_dread_damage_minions_17","Ужас"
"herocard.passive_skill.title.titan_resist_15","Титан"
"herocard.passive_skill.title.titan_resist_16","Титан"
"herocard.passive_skill.title.titan_resist_17","Титан"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","Мультяшка"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","Превращение усилений"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Превращение усилений"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Превращение недугов"
"herocard.passive_skill.title.wither.all.enemies","Увядание"
