"herocard.passive_skill.description.addmana.all.allies","Alle allierede får en lille smule mana."
"herocard.passive_skill.title.resist.maxhealthreduction","Modstå reduktion af maksimalt helbred"
"herocard.passive_skill.title.resist.poison","Modstå gift"
"herocard.passive_skill.title.resist.poison.burn.bleed","Modstå gift-, brand- og bløderskade"
"herocard.passive_skill.title.resist.possession.allstatuseffects","Modstå besættelse"
"herocard.passive_skill.title.resist.sand","Modstand mod sand"
"herocard.passive_skill.title.resist.specialblocking","Modstå blokering af særlig egenskab"
"herocard.passive_skill.title.resist.specialblocking.with_effect.healthboost.addmana","Styrket modstand mod blokering af særlig egenskab"
"herocard.passive_skill.title.resist.stopmanageneration","Modstå stop af managendannelse"
"herocard.passive_skill.title.resist.water","Modstand mod vand"
"herocard.passive_skill.title.resist_all_defense_effects","figurtræk: 
Smidig"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","Modstå statuslidelser fra håndlangere"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","Modstå fjernelse af håndlanger"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","Modstå negative håndlangereffekter"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","Overlegen modstand mod negative håndlangereffekter"
"herocard.passive_skill.title.resistnewfamiliars.parasite","Modstå djævle"
"herocard.passive_skill.title.resistnewfamiliars.parasite.bigparasite","Modstå djævle og megadjævle"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","Modstå statuslidelser"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","Reduktion af genoplivelseschance"
"herocard.passive_skill.title.revivalhealthmodifier.all.enemies.excluding.boss","Reduktion af genoplivningshelbred"
"herocard.passive_skill.title.revive_chance_nine_lives","Ni liv"
"herocard.passive_skill.title.reviveinalternativeformwithinsanitychance","Sælsom pagt"
"herocard.passive_skill.title.revivewithchance","Genoplivning"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Hurtigt tempo: Sang"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Hurtigt tempo: Dans"
"herocard.passive_skill.title.sharereceiveddamage","Del modtaget skade"
"herocard.passive_skill.title.short.generic","Passiv"
"herocard.passive_skill.title.short.league","Fordel"
"herocard.passive_skill.title.short.league.non_featured","Ulempe"
"herocard.passive_skill.title.short.trait","figurtræk"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","Elementalmaske"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","Troppeekspert"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","Troppeekspert"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_blue_on_special_titan_hunter_parent","Forstærkede skjold på særlige"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_green_on_special_titan_hunter_parent","Forstærkede skjold på særlige"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_purple_on_special_titan_hunter_parent","Forstærkede skjold på særlige"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_red_on_special_titan_hunter_parent","Forstærkede skjold på særlige"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_yellow_on_special_titan_hunter_parent","Forstærkede skjold på særlige"
"herocard.passive_skill.title.specialdamagereduction","Skadesreduktion ved særlig egenskab"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","Skadesreduktion ved særlig egenskab"
"herocard.passive_skill.title.startbattlewitheffect.addmana","Start kamp med mana"
"herocard.passive_skill.title.statmodifier.attack","Blodtørstig"
"herocard.passive_skill.title.statmodifier.defense","Rygskjoldet"
"herocard.passive_skill.title.statmodifier.health","Modstandsdygtigt"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","Forøger statuseffekter i angreb"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","Reduktion af angrebspåvirkning"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","Reduktion af angrebspåvirkning"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","Forøger statuseffekter i angreb"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","Reduktion af angrebspåvirkning"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","Forøger statuseffekter i forsvar"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","Reduktion af skadespåvirkninger"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","Reduktion af skadespåvirkninger"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","Forøger statuseffekter i forsvar"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","Reduktion af skadespåvirkninger"
"herocard.passive_skill.title.statuseffectdurationmodifier","Forøg buffervarighed"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Formindsk lidelsesvarighed"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Formindsk forsvarslidelsesvarighed"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Forøg buffervarighed"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","Kopiér lidelse ved fjernelse"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","Jægerstyrke"
"herocard.passive_skill.title.statuseffectonspecialcast.damageonhitreceived","Titanjægerens mærke"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","Gargoilens blødhud"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","Gargoilens stenhud"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","Managendannelsesbuffer fra lidelser"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","Elementalmaske"
"herocard.passive_skill.title.stylish","Smart!"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies","Frøplantefremkalder"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Frøplantefremkalder"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Frøplantefremkalder"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Slimhåndlanger ved nederlag"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Slimhåndlanger ved nederlag"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Slimhåndlanger ved nederlag"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Slimhåndlanger ved nederlag"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Slimhåndlanger ved nederlag"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","Opdeling af slimhåndlanger"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","Opdeling af slimhåndlanger"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","Opdeling af slimhåndlanger"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","Opdeling af slimhåndlanger"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Opdeling af slimhåndlanger"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","Hidkald ved brand"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","Hidkald på DoT"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","Hidkald håndlanger ved påvirkning af forsvar"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","Spurvehidkalder"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Forbandet spire-djævel-hidkalder"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Frøplantefremkalder"
"herocard.passive_skill.title.taunt","Ignorer hån"
"herocard.passive_skill.title.titan_dread_damage_minions","Gru"
"herocard.passive_skill.title.titan_dread_damage_minions_15","Gru"
"herocard.passive_skill.title.titan_dread_damage_minions_16","Gru"
"herocard.passive_skill.title.titan_dread_damage_minions_17","Gru"
"herocard.passive_skill.title.titan_resist_15","Titan"
"herocard.passive_skill.title.titan_resist_16","Titan"
"herocard.passive_skill.title.titan_resist_17","Titan"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","Tegneseriefigur"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","Forvandl buffere"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Forvandl buffere"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Forvandl lidelser"
"herocard.passive_skill.title.wither.all.enemies","Visne"
