"specials.name.a_cozy_break","Eine gemütliche Pause"
"specials.name.regeneration","Regeneration"
"specials.name.rejuvenating_elixir","Verjüngungselixier"
"specials.name.rejuvenating_leap","Verjüngungssprung"
"specials.name.relaxing_riddle","Entspannungsrätsel"
"specials.name.relentless_brawler","Gnadenloser Schläger"
"specials.name.remedies_and_diseases","Heilmittel und Krankheiten"
"specials.name.rending_dagger","Zerfleischender Dolch"
"specials.name.reporting_for_duty","Meldung zum Dienst"
"specials.name.resolute_spirit","Entschlossener Geist"
"specials.name.resolute_spirit2","Entschlossener Geist"
"specials.name.restoration_and_annihilation","Wiederherstellung und Vernichtung"
"specials.name.resurrection_of_the_fallen","Auferstehung der Gefallenen"
"specials.name.resurrection_of_the_fallen_kemeny","Auferstehung der Gefallenen"
"specials.name.revengeful_smite","Zerschmettern der Rache"
"specials.name.reverse_recovery","Umgekehrte Erholung"
"specials.name.reversed_lifeforce","Umgekehrte Lebenskraft"
"specials.name.revitalizing_melody","Belebende Melodie"
"specials.name.revitalizing_orb","Wiederbelebende Kugel"
"specials.name.revitalizing_sludge","Belebender Schlamm"
"specials.name.reviving_touch","Wiederbelebende Berührung"
"specials.name.rhythm_of_havoc","Rhythmus des Chaos"
"specials.name.riches_to_poor","Vom Millionär zum Tellerwäscher"
"specials.name.ricochet_bolt","Abprallender Bolzen"
"specials.name.riddle_of_the_moon","Rätsel des Monds"
"specials.name.riddle_of_the_sun","Rätsel der Sonne"
"specials.name.riders_arrow","Pfeil des Reiters"
"specials.name.riders_lance","Speer des Reiters"
"specials.name.rift_blade","Grabenklinge"
"specials.name.righteous_pulverizer","Rechtschaffener Zermalmer"
"specials.name.righteous_revenge","Rechtschaffene Rache"
"specials.name.righteous_stance","Gerechte Haltung"
"specials.name.righteous_strike","Gerechter Schlag"
"specials.name.rime_heart","Raureif-Herz"
"specials.name.ring_around_the_rosie","Ringelreihen"
"specials.name.rite_of_cuteness","Toon des Urteils"
"specials.name.rite_of_glass","Glasurteil"
"specials.name.rite_of_judgement","Urteilsspruch"
"specials.name.rites_of_inner_knowledge","Rituale des inneren Wissens"
"specials.name.ritual_of_judgement","Urteilsritual"
"specials.name.ritual_of_the_deep","Ritual der Tiefe"
"specials.name.ritual_of_the_elements","Ritual der Elemente"
"specials.name.roadside_surprise","Überraschung am Wegesrand"
"specials.name.roar_of_the_panther","Pantherbrüllen"
"specials.name.rockfall_bash","Steinfallschlag"
"specials.name.rod_of_freedom","Stab der Freiheit"
"specials.name.rod_of_torment","Stab der Pein"
"specials.name.roman_cleave","Spartanerangriff"
"specials.name.roots_of_wrath","Wurzeln des Zorns"
"specials.name.roots_of_yggdrasil","Wurzeln von Yggdrasil"
"specials.name.rose_bouquet_blast","Rosenstrauß-Explosion"
"specials.name.rotting_wound_dragon_pve","Verfaulende Wunde"
"specials.name.rottman","Rattenwahnsinn"
"specials.name.rough_and_tumble","Rauf und runter"
"specials.name.royal_assault","Königlicher Angriff"
"specials.name.royal_blades","Königliche Klingen"
"specials.name.royal_meatball_buffet","Königliches Frikadellenbuffet"
"specials.name.royal_poisoner","Königlicher Giftmischer"
"specials.name.ruby_rush","Rubinrausch"
"specials.name.rude_awakening","Böses Erwachen"
"specials.name.ruler_of_seas","Beherrscher der Meere"
"specials.name.ruler_of_seas_deadly","Beherrscher der Meere"
"specials.name.rural_chop","Ländlicher Hieb"
"specials.name.rush_of_flame","Flammenmeer"
"specials.name.rushed_melody","Schnelle Melodie"
"specials.name.rusty_blade","Rostige Klinge"
"specials.name.ruthless_gambit","Skrupelloser Schachzug"
"specials.name.sable_slasher","Zobelschlitzer"
"specials.name.sacrament_of_salvation","Sakrament der Erlösung"
"specials.name.sacred_horns","Heilige Hörner"
"specials.name.sacred_reflection","Heilige Spiegelung"
"specials.name.saga_of_deliverance","Geschichte der Erlösung"
"specials.name.saga_of_protection","Geschichte des Schutzes"
"specials.name.salty_splash_dragon_pve","Salziges Spritzen"
"specials.name.sanction_for_heresy","Strafe für Ketzerei"
"specials.name.sanctuary_of_light","Heiligtum des Lichts"
"specials.name.sand_cyclone","Sandwirbelsturm"
"specials.name.sand_cyclone_pve","Sandwirbelsturm"
"specials.name.sand_wave_rana","Hohe Wellen"
"specials.name.sand_wave_yunan","Abgang"
"specials.name.sandstorm_strike","Sandsturmschlag"
"specials.name.sandworm_strike","Sandwurmschlag"
"specials.name.sapphire_eyes","Saphiraugen"
"specials.name.saturated_suffering","Gesättigtes Leiden"
"specials.name.savage_gobble_blue","Wildes Schlingen"
"specials.name.savage_gobble_green","Wildes Schlingen"
"specials.name.savage_gobble_purple","Wildes Schlingen"
"specials.name.savage_gobble_red","Wildes Schlingen"
"specials.name.savage_gobble_yellow","Wildes Schlingen"
"specials.name.savage_talons","Wilde Klauen"
"specials.name.scale_of_the_newt","Schuppen des Molches"
"specials.name.scaly_skin","Schuppenhaut"
"specials.name.scar_of_the_depths","Narbe der Tiefen"
"specials.name.scar_of_the_depths_deadly","Narbe der Tiefen"
"specials.name.scarab_barrage","Skarabäus-Trommelfeuer"
"specials.name.scarab_blitz","Skarabäus-Luftangriff"
"specials.name.scarab_bombardment","Skarabäus-Beschuss"
"specials.name.scarab_rush","Skarabäus-Angriff"
"specials.name.scarab_throw","Skarabäus-Wurf"
"specials.name.scavenging_dash","Plünderersturm"
"specials.name.scepter_of_bundelkhand","Zepter von Bundelkhand"
"specials.name.scepter_of_constellations","Zepter der Konstellationen"
"specials.name.scion_sword","Schwert des Nachkommen"
"specials.name.scion_sword_costume_white_raven","Sprossenklinge"
"specials.name.scorching_orb","Gleißende Kugel"
"specials.name.scoundrel_swing","Schurkenschwung"
"specials.name.scourge_of_joy","Geißel der Freude"
"specials.name.scourge_of_the_strong","Geißel der Starken"
"specials.name.scouts_spyglass","Fernglas des Spähers"
"specials.name.scroll_of_equations","Schriftrolle der Gleichungen"
"specials.name.scroll_of_fellowship","Gemeinschaftstsurkunde"
"specials.name.scroll_of_navigation","Schriftrolle der Navigation"
"specials.name.scroll_of_new_beginnings","Schriftrolle des Neubeginns"
"specials.name.scroll_of_spite","Schriftrolle der Bösartigkeit"
"specials.name.scythe_of_sorceries","Sense der Hexerei"
"specials.name.seabed_pirouette","Meeresgrund-Pirouette"
"specials.name.seabed_sissonne","Meeresboden-Sissonne"
"specials.name.seal_of_ares","Ares-Siegel"
"specials.name.seal_of_fire","Feuersiegel"
"specials.name.searing_frost","Ätzender Frost"
"specials.name.searing_strike","Versengender Schlag"
"specials.name.seastar_burst","Seesternexplosion"
"specials.name.seaweed_flail","Seegras-Flegel"
"specials.name.second_skin","Zweite Haut"
"specials.name.seeking_shots","Suchschüsse"
"specials.name.self_preservation","Selbsterhaltung"
"specials.name.sense_of_wonder","Sinn für Wunder"
"specials.name.serenade_of_sedition","Serenade des Aufruhrs"
"specials.name.servants_aid","Hilfe des Dieners"
"specials.name.set_phase2","Entfesselte Dunkelheit"
"specials.name.set_phase3","Letzte Anstrengung"
"specials.name.severed_seal","Zerrissenes Siegel"
"specials.name.severing_strike","Zerreißender Schlag"
"specials.name.sewing_back_together","Zusammennähen"
"specials.name.shackles_of_the_sea","Fesseln des Ozeans"
"specials.name.shade_cloak","Schattenumhang"
"specials.name.shadow_link","Stahlkette"
"specials.name.shadow_lunge","Schattenschritt"
"specials.name.shadow_monster_form","Gespenstischer Schlitzer"
"specials.name.shadow_sidestep","Schatten-Ausweichmanöver"
"specials.name.shadow_strike","Schattenschlag"
"specials.name.shadow_sweep","Schattenstreich"
"specials.name.shady_concerto","Schattenkonzert"
"specials.name.shapeshifters_deception","Täuschung des Formwandlers"
"specials.name.shards_of_sun","Sonnensplitter"
"specials.name.shared_compassion","Geteiltes Mitgefühl"
"specials.name.shared_visage","Geteiltes Gesicht"
"specials.name.shark_bite","Haifischbiss"
"specials.name.sharp_cut","Tiefer Schnitt"
"specials.name.sharp_knife","Scharfes Messer"
"specials.name.sharp_stingers","Scharfe Stacheln"
"specials.name.shatter_psyche","Erschütterung der Psyche"
"specials.name.shatter_soul","Seelenschmettern"
"specials.name.shattering_shriek","Schmetterschrei"
"specials.name.shattering_warcry","Schmetterkriegsgebrüll"
"specials.name.shed_skin","Abgelegte Haut"
"specials.name.shieldmaidens_protection","Schutz der Schildmaid"
"specials.name.shifting_mindless_attack","Wechselnder blindwütiger Angriff"
"specials.name.shimmering_shield","Schimmernder Schild"
"specials.name.shock_bolt","Schock"
"specials.name.shock_ultimatum","Schock-Ultimatum"
"specials.name.shocking_news","Schockierende Neuigkeiten"
"specials.name.shrill_announcement","Schrille Ankündigung"
"specials.name.shy_jab_dragon_pve","Schüchterner Stoß"
"specials.name.sickening_glow","Abscheuliches Glühen"
"specials.name.sickle_of_eradication","Sichel der Auslöschung"
"specials.name.sickle_of_wu","Sichel von Wu"
"specials.name.sickle_trouble","Sichelärger"
"specials.name.sideswipe","Seitenhieb"
"specials.name.sigil_of_the_sun","Sonnensiegel"
"specials.name.silencing_stick_up","Schweigender Überfall"
"specials.name.silent_takedown","Stille Vernichtung"
"specials.name.sinister_enlace","Finstere Verflechtung"
"specials.name.sinister_enlace_deadly","Finstere Verflechtung"
"specials.name.sinister_siphon","Unheimlicher Leerschöpfer"
"specials.name.sir_agony","Dränageklinge"
"specials.name.sir_pain","Vergeltungssense"
"specials.name.situational_awareness","Lagebewusstsein"
"specials.name.sky_attack","Himmelsangriff"
"specials.name.skyfall_crumble","Himmelszerfall"
"specials.name.slash_and_support","Schlitzen und unterstützen"
"specials.name.slash_of_four_blades","Vierklingenhieb"
"specials.name.slash_of_glass_blades","Glasklingenhieb"
"specials.name.slash_of_seven_blades","Siebenklingenhieb"
"specials.name.slash_of_seven_daggers","Siebendolchehieb"
"specials.name.slash_of_seven_toons","Hieb der sieben Toons"
"specials.name.slash_of_the_seven_stilettos","Hieb der sieben Stilette"
"specials.name.slaying_stake","Tötungspfahl"
"specials.name.sledge_bash","Schlittenschlag"
"specials.name.slice_and_dice","Hacken und würfeln"
"specials.name.slice_and_dice_pve","Hacken und würfeln"
"specials.name.slime_coated_sword","Mit Schleim überzogenes Schwert"
"specials.name.slime_serving","Schleimangriff"
"specials.name.slime_slap","Schleimschlag"
"specials.name.slimy_balls","Schleimbälle"
"specials.name.slingja_attack_chingiriko","Schling-ja-Angriff"
"specials.name.slumber_spores","Schlummersporen"
"specials.name.slumbering_beatdown","Schlummernder Fall"
"specials.name.smoldering_tear_dragon_pve","Glimmender Riss"
"specials.name.smooth_treatment","Geschmeidige Behandlung"
"specials.name.snapping_jaws","Schnappende Kiefer"
"specials.name.snowlit_slices","Schneeglanz-Scheiben"
"specials.name.soaring_blast","Donnernder Knall"
"specials.name.sock_and_block","Schlag und Blocken"
"specials.name.solar_beam","Sonnenstrahl"
"specials.name.solar_strike","Sonnenschlag"
"specials.name.soldiers_curse","Sandbrise"
"specials.name.solid_frozen_fist","Eiserne Frostfaust"
"specials.name.song_of_calamity","Lied des Unglücks"
"specials.name.song_of_hoot_and_holler","Lied von Tuten und Schreien"
"specials.name.song_of_regression","Klagelied des Rückschritts"
"specials.name.song_of_the_morass","Lied des Sumpfs"
"specials.name.song_of_the_skies","Lied des Himmels"
"specials.name.songs_of_the_cherry_tree","Lieder des Kirschbaums"
"specials.name.sonic_infusion_arrow","Schallpfeil"
"specials.name.sonic_roar","Schallruf"
"specials.name.sonic_wall","Schallwand"
"specials.name.sonorous_spear","Lauter Speer"
"specials.name.soothing_melody","Beruhigende Melodie"
"specials.name.soothing_song","Beruhigendes Lied"
"specials.name.soul_cage","Skelettbeschwörung"
"specials.name.soul_guardian","Seelenwächter"
"specials.name.sour_berry_blast_dragon_pve","Sauerbeeren-Bumm"
"specials.name.sparking_star_slash","Funkelnder Stern-Schnitt"
"specials.name.sparrow_fury","Spatzenzorn"
"specials.name.spartan_cleave","Schädelspalter"
"specials.name.spartan_slash","Spartanerschlitzer"
"specials.name.spear_of_blood_pact","Speer des Blutpakts"
"specials.name.spear_of_loyalty","Speer der Treue"
"specials.name.spear_of_shu","Speer von Shu"
"specials.name.spearwand_gale","Speerstab-Bö"
"specials.name.spectacular_bite","Spektakulärer Biss"
"specials.name.spectral_visions","Spektralvisionen"
"specials.name.spectral_wings","Spektralflügel"
"specials.name.spectres_flail","Morgenstern des Geists"
"specials.name.spell_lock","Zaubersperre"
"specials.name.spell_of_camaraderie","Magie der Kameradschaft"
"specials.name.spicy_berry_blast_dragon_pve","Scharfbeeren-Bumm"
"specials.name.spike_burst","Stachelexplosion"
"specials.name.spilled_decoctions","Vergossener Sud"
"specials.name.spirit_arrow","Geisterpfeil"
"specials.name.spirit_drain","Geisterentzug"
"specials.name.spirit_of_spring","Geist des Frühlings"
"specials.name.spirit_of_winter","Geist des Winters"
"specials.name.spirit_rally","Geisterversammlung"
"specials.name.spirits_of_the_mountain","Geister des Berges"
"specials.name.spiritual_unity","Wundervolles Gelage"
"specials.name.spiritual_wire","Spiritueller Draht"
"specials.name.splintering_shot","Splitterschuss"
"specials.name.splintering_shot2","Splitterschuss"
"specials.name.spotting_trouble","Ärger in Sicht"
"specials.name.spreading_gossip","Gerüchte verbreiten"
"specials.name.spreading_shadow","Ausbreitender Schatten"
"specials.name.spreading_traps","Ausbreitende Fallen"
"specials.name.sprite_ballad","Koboldballade"
"specials.name.sprite_hymn","Koboldhymne"
"specials.name.squeak_of_protection","Schutzquietscher"
"specials.name.squire_strike","Knappenschlag"
"specials.name.squires_squirrel","Knappeneichhörnchen"
"specials.name.squish_squash_achillea","Quitsch-quatsch"
"specials.name.stab_of_four_blades","Vierklingenstich"
"specials.name.staff_of_mana_control","Stab der Manabeherrschung"
"specials.name.staff_of_mana_control_pve","Stab der Manabeherrschung"
"specials.name.staff_of_the_seastar","Stab des Seesterns"
"specials.name.staggering_blows","Überwältigende Schläge"
"specials.name.stalling_spell","Hinhaltezauber"
"specials.name.stalling_strike","Einhalt gebietender Schlag"
"specials.name.stalwart_rally","Getreues Gefolge"
"specials.name.stalwart_to_the_end","Standhaft bis zum Ende"
"specials.name.standing_fortress","Stehende Festung"
"specials.name.standing_fortress3","Stehende Festung"
"specials.name.star_construct","Sternkonstrukt"
"specials.name.star_trail","Sternwanderung"
"specials.name.starplay","Sternspiel"
"specials.name.stately_retribution","Stattliche Vergeltung"
"specials.name.steel_rush","Stahlrausch"
"specials.name.stellar_beam","Sternenstrahl"
"specials.name.sticky_express","Klebrige Eile"
"specials.name.sticky_spear","Klebriger Speer"
"specials.name.stiletto_cyclone","Stiletto-Zyklon"
"specials.name.stolen_tarts","Gestohlene Torten"
"specials.name.stomp","Stampfer"
"specials.name.stone_skin","Seelenbund"
"specials.name.storm_of_blades","Klingensturm"
"specials.name.strange_incense","Seltsamer Weihrauch"
"specials.name.strategic_slash","Vogelschnitt"
"specials.name.strength_of_the_accursed","Stärke der Verfluchten"
"specials.name.strength_of_the_benemoth","Stärke des Behemoth"
"specials.name.strength_of_the_volcano","Die Kraft des Vulkans"
"specials.name.strengthening_draught","Stärkende Dürre"
"specials.name.strengthening_smash","Stärkendes Schmettern"
"specials.name.strict_standards","Hohe Ansprüche"
"specials.name.strike_and_support","Zuschlagen und Unterstützen"
"specials.name.strike_from_the_shadows","Treffer aus den Schatten"
"specials.name.strike_from_the_skies","Schlag aus dem Himmel"
"specials.name.strike_of_a_thousand_howls","Angriff der tausend Schreie"
"specials.name.strike_of_the_ancients","Ahnenhieb"
"specials.name.strike_of_the_cobra","Angriff der Kobra"
"specials.name.strike_of_the_monolith","Monolithenhieb"
"specials.name.strike_of_the_toons","Angriff der Toons"
"specials.name.strike_of_the_underworld","Angriff der Unterwelt"
"specials.name.struck_by_thunder","Vom Donner getroffen"
"specials.name.stubby_reap","Stämmige Ernte"
"specials.name.stunning_blow","Betäubungshieb"
"specials.name.stunning_spear","Betäubender Speer"
"specials.name.stunning_steel","Betäubender Stahl"
"specials.name.stunning_strike","Betäubender Treffer"
"specials.name.stupendous_break_in","Erstaunlicher Einbruch"
"specials.name.sturdy_riposte","Stabiler Konter"
"specials.name.stylish_chop","Stilvoller Hieb"
"specials.name.stylish_counterattack","Stilvoller Gegenangriff"
"specials.name.stylish_eruption","Stilvoller Ausbruch"
"specials.name.stylish_fireball","Stilvoller Feuerball"
"specials.name.stylish_heal","Stilvolle Heilung"
"specials.name.stylish_pulverizer","Stilvoller Pulverisierer"
"specials.name.stylish_slash","Stilvoller Schnitt"
"specials.name.stylish_spear","Stilvoller Speer"
"specials.name.stylish_strike","Stilvoller Schlag"
"specials.name.stylish_strike_caedmon","Stilvoller Schlag"
"specials.name.stylish_warcry","Stilvoller Schlachtruf"
"specials.name.subduing_strike","Bändigender Schlag"
"specials.name.sublime_pastry","Fischgebäck"
"specials.name.sudden_attack","Blitzangriff"
"specials.name.suffocating_smoke","Erstickender Rauch"
"specials.name.suffocating_smoke2","Erstickender Rauch"
"specials.name.suffocating_smoke3","Erstickender Rauch"
"specials.name.sugar_rush","Zuckerschock"
"specials.name.summer_carol","Sommerlied"
"specials.name.summers_end","Frostfinale"
"specials.name.summon_ballerina_fiend","Ballerinas beschwören"
"specials.name.summon_celestial_guardians","Himmelswächter beschwören"
"specials.name.summon_rock_golems","Felsgolems beschwören"
"specials.name.summon_sand_golems","Sandgolems beschwören"
"specials.name.summon_temple_guardians","Tempelwächter beschwören"
"specials.name.sunken_abyss","Versunkener Abgrund"
"specials.name.sunken_magma_cube","Versunkener Magmawürfel"
"specials.name.sunscreen_blast","Sonnencremeexplosion"
"specials.name.sunstone_glare_dragon_pve","Sonnenstein-Blendung"
"specials.name.super_duper_spray","Superduper-Spray"
"specials.name.super_porridge","Super-Porridge"
"specials.name.superb_sake","Super-Sake"
"specials.name.supercharged_fireball_dragon_pve","Überladener Feuerball"
"specials.name.supernova","Supernova"
"specials.name.supernova_boss_phase1","Supernova"
"specials.name.supernova_boss_phase2","Supernova Aeternus"
"specials.name.suppressing_ki","Unterdrückendes Ki"
"specials.name.sure_fire_combustion","Todsichere Verbrennung"
"specials.name.surprise_goo","Überraschungsschleim!"
"specials.name.suspicious_stew","Verdächtig wirkender Eintopf"
"specials.name.swamp_skin","Sumpfhaut"
"specials.name.swashbuckling_stab","Seemannstoß"
"specials.name.sweet_berry_blast_dragon_pve","Süßbeeren-Bumm"
"specials.name.sweet_dreams","Süße Träume"
"specials.name.swift_little_friends","Flinke kleine Freunde"
"specials.name.swift_maneuvers","Schnelle Manöver"
"specials.name.swift_stingers","Schnelle Stachel"
"specials.name.swooping_support","Herabstoßende Unterstützung"
"specials.name.swooping_talon","Herabstoßende Klaue"
"specials.name.sword_barricade","Schwertbarrikade"
"specials.name.sword_dance","Schwerttanz"
"specials.name.sword_of_swan_song","Schwerter des Schwanentanzes"
"specials.name.sword_of_wei","Schwert von Wei"
"specials.name.sylvan_blessings","Waldsegen"
"specials.name.symphonic_pulverizer","Symphonischer Pulverisator"
"specials.name.tackle","Tackling"
"specials.name.tactical_cut","Taktischer Schnitt"
"specials.name.tail_bash","Schwanzhieb"
"specials.name.tail_slam","Schwanzschlag"
"specials.name.tail_slam_deadly","Schwanzschlag"
"specials.name.tail_sting","Schwanzstich"
"specials.name.tail_sting_deadly","Schwanzstich"
"specials.name.tainted_axe","Befleckte Axt"
"specials.name.tambourine_solo","Tamburin-Solo"
"specials.name.tangy_berry_blast_dragon_pve","Herbbeeren-Bumm"
"specials.name.tantrum_of_forest","Zorn der Toons"
"specials.name.teeth_of_the_river","Zähne des Flusses"
"specials.name.tempered_blade","Gehärtete Klinge"
"specials.name.tentacle_jab","Tentakelstich"
"specials.name.tentacle_slash","Tentakelhieb"
"specials.name.terrifying_screech","Grauenerregender Schrei"
"specials.name.terror_shriek","Schreckensschrei"
"specials.name.testudo_rock","Schildkrötenfelsen"
"specials.name.testudo_roll","Schildkrötenrolle"
"specials.name.testudo_roll_deadly","Schildkrötenrolle"
"specials.name.the_call_to_hibernate","Ruf zum Winterschlaf"
"specials.name.the_dukes_investigation","Die Nachforschungen des Herzogs"
"specials.name.the_eagles_blessing","Der Adlersegen"
"specials.name.the_mighty_crescendo","Das mächtige Crescendo"
"specials.name.the_perfect_throw","Der perfekte Wurf"
"specials.name.the_piranha_incident","Der Piranha-Vorfall"
"specials.name.the_queens_radiance","Die Ausstrahlung der Königin"
"specials.name.the_queens_speech","Die Rede der Königin"
"specials.name.the_two_sides_of_the_moon","Die zwei Seiten des Mondes"
"specials.name.the_undercover_investigation","Verdeckte Ermittlung"
"specials.name.thieving_shot","Diebesschuss"
"specials.name.thorned_slam_dunk","Dorniger Slam-Dunk"
"specials.name.thousand_cuts","Tausend Schnitte"
"specials.name.thousand_palm_strikes","Tausend-Palmen-Schläge"
"specials.name.three_bandit_mice","Drei Mäusebanditen"
"specials.name.three_blind_mice","Drei blinde Mäuse"
"specials.name.three_little_rams","Drei kleine Widder"
"specials.name.thresher_worms","Drescherwürmer"
"specials.name.thrilling_clash","Packender Zusammenstoß"
"specials.name.throwing_daggers","Dolche werfen"
"specials.name.throwing_stars","Wurfsterne"
"specials.name.thunder_ultimatum","Donnerschlag"
"specials.name.thunderbolt","Donnerblitz"
"specials.name.thundering_strike","Donnernder Schlag"
"specials.name.thunderstorm","Gewitter"
"specials.name.thunderstrike","Donnerschlag"
"specials.name.tidal_force","Wucht der Gezeiten"
"specials.name.tidal_vortex","Gezeitenwirbel"
"specials.name.tidal_wave","Monsterwelle"
"specials.name.tidal_waves","Flutwellen"
"specials.name.tidy_up","Aufräumen!"
"specials.name.time_rewind","Zeit zurückdrehen"
"specials.name.timeless_timepiece","Zeitloser Zeitmesser"
"specials.name.titanbone_chain_slash","Titan-Knochen-Kettenhieb"
"specials.name.titanium_antler_attack","Titangeweih-Angriff"
"specials.name.titantooth_blade","Titanzahnklinge"
"specials.name.to_the_rescue","Zur Rettung!"
"specials.name.tokri_of_resources","Tokri voller Rohstoffe"
"specials.name.tome_of_the_stag","Foliant des Hirsches"
"specials.name.toon_annihilation","Toon-Vernichtung"
"specials.name.toon_athenas_bow","Athenas Toon-Bogen"
"specials.name.toon_attack","Toon-Angriff"
"specials.name.toon_barrage","Toon-Salve"
"specials.name.toon_bash","Toon-Schlag"
"specials.name.toon_bite","Toon-Biss"
"specials.name.toon_blast","Toon-Explosion"
"specials.name.toon_brew","Toon-Gebräu"
"specials.name.toon_chop","Toon-Hieb"
"specials.name.toon_cleave","Toon-Schlag"
"specials.name.toon_counter","Toon und Konter"
"specials.name.toon_cut","Toon-Schnitt"
"specials.name.toon_finisher","Toon-Vollstrecker"
"specials.name.toon_fury","Toon-Zorn"
"specials.name.toon_hit","Toon-Treffer"
"specials.name.toon_jolt","Toon-Stoß"
"specials.name.toon_lament","Toon-Klage"
"specials.name.toon_link","Toon-Verbindung"
"specials.name.toon_mirror","Toon-Spiegel"
"specials.name.toon_mist","Toon-Nebel"
"specials.name.toon_of_the_depths","Toon der Tiefen"
"specials.name.toon_of_the_seas","Toon der Meere"
"specials.name.toon_prowess","Toon-Stärke"
"specials.name.toon_riposte","Toon-Konter"
"specials.name.toon_shot","Toon-Schuss"
"specials.name.toon_slam","Toon-Schlag"
"specials.name.toon_slash","Toon-Streich"
"specials.name.toon_stab","Toon-Stich"
"specials.name.toon_stars","Toon-Sterne"
"specials.name.toon_storm","Toon-Sturm"
"specials.name.toon_strike","Toon-Angriff"
"specials.name.toon_traps","Toon-Fallen"
"specials.name.toon_ultimatum","Toon-Ultimatum"
"specials.name.toon_vines","Toon-Reben"
"specials.name.toon_wave","Toon-Welle"
"specials.name.toon_waza","Toon-Waza"
"specials.name.toonball","Toon-Kugel"
"specials.name.tooncry","Toon-Schrei"
"specials.name.toonpower_pulverizer","Toon-Kraft-Pulverisierer"
"specials.name.toons_luck","Toon-Glück"
"specials.name.toons_order","Der Toon-Befehl"
"specials.name.toontastic_feast","Toontastisches Gelage"
"specials.name.toontastic_fog","Toon-tastischer Nebel"
"specials.name.toontastic_link","Toon-tastische Verbindung"
"specials.name.toontastic_protection","Toontastischer Schutz"
"specials.name.toontastic_pulverizer","Toon-Pulverisierer"
"specials.name.toontastic_riposte","Toontastische Riposte"
"specials.name.toontastic_smash","Toon-tastischer Schmetterschlag"
"specials.name.toontastic_strike","Toon-tastischer Hieb"
"specials.name.total_beatdown","Zusammenschlagen"
"specials.name.tough_love","Liebeskanone"
"specials.name.towers_curse","Sandflut"
"specials.name.toxic_berry_blast","Giftiger Beerenwirbel"
"specials.name.toxic_bile","Giftige Galle"
"specials.name.toxic_flames","Toxische Flammen"
"specials.name.toxic_fumes","Giftige Dämpfe"
"specials.name.toxic_gas_cloud","Giftgaswolke"
"specials.name.toxic_headbutt","Giftige Kopfnuss"
"specials.name.toxic_incense","Giftiger Rauch"
"specials.name.toxic_spit","Giftige Spucke"
"specials.name.toxic_stinger","Giftiger Stachel"
"specials.name.toxic_traps","Giftfallen"
"specials.name.toxic_tricks","Giftige Tricks"
"specials.name.toxicadendra","Beschleunigtes Wachstum"
"specials.name.trainer_blast","Traineransturm"
"specials.name.trainer_slash","Trainer-Treffer"
"specials.name.tranquil_mist","Ruhiger Nebel"
"specials.name.transcendental_charge","Transzendentaler Ansturm"
"specials.name.transcendental_frame","Transzendentaler Rahmen"
"specials.name.transfigure","Umgestaltung"
"specials.name.travelers_snack","Reisesnack"
"specials.name.treasure_ale","Geschätztes Gebräu"
"specials.name.trial_of_darkness","Prüfung der Dunkelheit"
"specials.name.trial_of_fauna","Prüfung der Tierwelt"
"specials.name.trial_of_fire","Prüfung des Feuers"
"specials.name.trial_of_flames","Prüfung der Flammen"
"specials.name.trial_of_flora","Prüfung der Pflanzenwelt"
"specials.name.trial_of_frost","Prüfung des Frosts"
"specials.name.trial_of_ice","Prüfung des Eises"
"specials.name.trial_of_nature","Prüfung der Natur"
"specials.name.trial_of_pain","Prüfung des Schmerzes"
"specials.name.trial_of_the_moon","Prüfung des Monds"
"specials.name.trial_of_the_sun","Prüfung der Sonne"
"specials.name.trial_of_the_waters","Prüfung der See"
"specials.name.tribal_rage","Stammeszorn"
"specials.name.tribal_rage_pve","Stammeszorn"
"specials.name.trick_of_the_trade","Tricks der Branche"
"specials.name.trickster_grenades","Trickster-Granaten"
"specials.name.tricksters_buff","Flasche"
"specials.name.tricksters_damage","Schwerter"
"specials.name.tricksters_exchange","Schachzug des Schwindlers"
"specials.name.tricksters_lullaby","Schlaflied des Gauners"
"specials.name.tricksters_malice","Bosheit des Gauners"
"specials.name.tricksters_mischief","Streich des Gauners"
"specials.name.tricksters_negative","Einfrieren"
"specials.name.tricksters_transformation","Verwandlung des Gauners"
"specials.name.triple_stab","Dreifachstich"
"specials.name.triumph_of_strategy","Triumph der Strategie"
"specials.name.tropical_ambush","Tropenhinterhalt"
"specials.name.tumbling_dragon","Taumelnder Drache"
"specials.name.tumbling_dragon2","Taumelnder Drache"
"specials.name.turquoise_falcon","Türkiser Falke"
"specials.name.twilight_of_crimes","Zwielicht der Verbrechen"
"specials.name.twilight_of_ruin","Zwielicht des Verderbens"
"specials.name.twilight_of_sorrow","Zwielicht der Sorgen"
"specials.name.twilight_star_strike","Dämmersternschlag"
"specials.name.twilight_tricks","Zwielichttricks"
"specials.name.twist_of_fate","Wendung des Schicksals"
"specials.name.twist_of_fate_minor","Verdrehtes Schicksal"
"specials.name.twostep_swing","Zwei-Schritt-Schwung"
"specials.name.ultimate_giftsack","Ultimativer Geschenkesack"
"specials.name.unbreakable_brawler","Unzerstörbarer Raufbold"
"specials.name.unbroken_assault","Ununterbrochener Ansturm"
"specials.name.unchained_jaws","Entfesselte Mäuler"
"specials.name.unchained_jaws_ultimate_boss","Entfesselte Mäuler"
"specials.name.undead_obliteration","Untoter Auslöscher"
"specials.name.undead_penance_poetic","Buße der Untoten"
