"herocard.passive_skill.description.addmana.all.allies","Kaikki liittolaiset saavat pienen määrän manaa."
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","Manaa saadusta vaivasta"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","Terveyden palautusta saadusta tehosteesta"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","Terveyden palautusta saadusta vaivasta"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","Manatehoste saadusta vaivasta"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","Manaa saadusta tehosteesta"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","Terveyden palautusta saadusta tehosteesta"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","Tehostettua terveyttä tilaefektin poistosta"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","Vauriota tilaefektin poistosta"
"herocard.passive_skill.title.effectovertime.revival","Elvytyksiä ajan mittaan"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","Manaa per vihollisen tehoste"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","Terveystehostus myrkystä"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Manaa käskyläisen kutsumisesta"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Lemmikkien ystävä"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Manaa riiviöiden kutsumisesta"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","Lemmikkien viha"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","Tehostettua terveyttä riiviöiden kutsumisesta"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","Käskyläisten sokaisu"
"herocard.passive_skill.title.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core","Käskyläisydin"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","Heikommat megakäskyläiset"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","Heikommat käskyläiset"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","Pysäyttää megakäskyläiset"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","Pysäyttää käskyläiset"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","Manaa jäävauriosta"
"herocard.passive_skill.title.glass_reflect_debuffs","Lasia"
"herocard.passive_skill.title.growth","Kasvu"
"herocard.passive_skill.title.guaranteedeffectonspecial","Taattu vaikutus erikoistaidolla"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","Vähemmän parannusta"
"herocard.passive_skill.title.healonheal.heal","Lisäparannus"
"herocard.passive_skill.title.healonownfamiliardeath.minion","Terveyttä kuolleesta käskyläisestä"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","Tehostettua terveyttä kuolleesta käskyläisestä"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","Lisää hyökkäystä muista kuin luontovihollisista"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","Lisää hyökkäystä muista kuin tulivihollisista"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","Lisävauriota käskyläisille ja megakäskyläisille"
"herocard.passive_skill.title.increaseddamageagainstminions","Enemmän vauriota käskyläisille"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","Enemmän vauriota piikittelijöille"
"herocard.passive_skill.title.increasespecialdamage","Enemmän vauriota erikoistaidoista"
"herocard.passive_skill.title.increasespecialdamage.usable_once","Enemmän vauriota erikoistaidoista"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","Enemmän vauriota erikoistaidoista"
"herocard.passive_skill.title.insanitydamagereduction","Muinaisten merkitsemä"
"herocard.passive_skill.title.iterateeffectonspecial","Lisätilaisuus vaikutuksiin erikoistaidolla"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","Liigahaitta"
"herocard.passive_skill.title.league_featured_family_resist","Liigaetu"
"herocard.passive_skill.title.league_heal_modifier_against_family","Liigahaitta"
"herocard.passive_skill.title.league_heal_modifier_for_family","Liigaetu"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","Liigaetu"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","Manan hidastus"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","Manaa käskyläisen kuolemasta"
"herocard.passive_skill.title.manaonstatuseffect.debuff","Manaa vaivoista"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","Vihollisten käskyläisten ja riiviöiden muistaminen"
"herocard.passive_skill.title.memorizestatuseffects","Vaivojen muistaminen"
"herocard.passive_skill.title.mimic_dread_damage_minions","Kammo"
"herocard.passive_skill.title.mimiclootonlevelcompleted","Matkijan saalis"
"herocard.passive_skill.title.nevermissspecial","Täydellinen tarkkuus"
"herocard.passive_skill.title.ransack","Varkaan tilaisuus"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","Tehosteen anastus"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","Metsästäjän vaisto"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","Joukkojen mestari"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage.increase.dragon","Tulipallon vaurion voimakas kasvu"
"herocard.passive_skill.title.redirectlethaldamage.enemies.single","Huijaa kuolemaa"
"herocard.passive_skill.title.remove_growth_from_enemies","Vartijoiden kokoonkutsu"
"herocard.passive_skill.title.remove_wither_from_allies","Vartijoiden kokoonkutsu"
"herocard.passive_skill.title.repaircoreintrinsicchargeeffectonspecial.healthboost","Korjausydin"
"herocard.passive_skill.title.repeat_special_once","Onnekas"
"herocard.passive_skill.title.resist.accuracymodifiers","Sokeuden vastustus"
"herocard.passive_skill.title.resist.alldebuffs","Vaivojen vastustus"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","Kaikkien vaivojen vastustus"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","Huipputason vastustus"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","Puolustusvaivojen vastustus"
"herocard.passive_skill.title.resist.alldefensemodifiers.defensewither.alldebuffs","Puolustuksen vähennyksen vastustus"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","Manavaivojen vastustus"
"herocard.passive_skill.title.resist.allmanaeffects.manareduction.alldebuffs","Negatiivisten manaefektien vastustus"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","Tilaefektien vaurion vastustus"
"herocard.passive_skill.title.resist.attackdelay","Hyökkäysviivästyksen vastustus"
"herocard.passive_skill.title.resist.attackmodifiers","Hyökkäysvaivojen vastustus"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","Hyökkäystilaefektien vastustus"
"herocard.passive_skill.title.resist.attackmodifiers.attackwither.alldebuffs","Hyökkäyksen vähennyksen vastustus"
"herocard.passive_skill.title.resist.bleed","Verenvuodon vastustus"
"herocard.passive_skill.title.resist.bleed.with_effect.healthboost.addmana","Voimakas verenvuodon vastustus"
"herocard.passive_skill.title.resist.buffdispels","Häivytysten vastustus"
"herocard.passive_skill.title.resist.buffimmunity","Tehostusten eston vastustus"
"herocard.passive_skill.title.resist.burn","Palamisen vastustus"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","Voimakas palamisen vastustus"
"herocard.passive_skill.title.resist.criticalhits.none","Kriittisten iskujen vastustus"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","Puolustusvaivojen vastustus"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Pysäyttämättömät käskyläiset"
"herocard.passive_skill.title.resist.frost","Jäävaurioiden vastustus"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","Vahvistettu jäävaurioiden vastustus"
"herocard.passive_skill.title.resist.healeffects","Parannusvaivojen vastustus"
"herocard.passive_skill.title.resist.healthsteal","Terveyttä vievien vaivojen vastustus"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","Hulluuden vastustus"
"herocard.passive_skill.title.resist.manadebuffs","Manavaivojen vastustus"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","Manavaivojen ja erikoistaitojen eston vastustus"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","Manatuotantovaivojen vastustus"
"herocard.passive_skill.title.resist.manareduction","Suoran manavähennyksen vastustus"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","Voimakas suoran manavähennyksen vastustus"
"herocard.passive_skill.title.resist.maxhealthreduction","Maksimiterveyden vähennyksen vastustus"
"herocard.passive_skill.title.resist.poison","Myrkyn vastustus"
"herocard.passive_skill.title.resist.poison.burn.bleed","Myrkyn, palamisen ja verenvuodon vastustus"
"herocard.passive_skill.title.resist.possession.allstatuseffects","Riivauksen vastustus"
"herocard.passive_skill.title.resist.sand","Hiekan vastustus"
"herocard.passive_skill.title.resist.specialblocking","Erikoistaitojen eston vastustus"
"herocard.passive_skill.title.resist.specialblocking.with_effect.healthboost.addmana","Erikoistaitojen eston voimakas vastustus"
"herocard.passive_skill.title.resist.stopmanageneration","Manatuotannon pysäyttävien vaivojen vastustus"
"herocard.passive_skill.title.resist.water","Veden vastustus"
"herocard.passive_skill.title.resist_all_defense_effects","Piirre: 
Solakka"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","Käskyläisten vaivojen vastustus"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","Käskyläisen poiston vastustus"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","Käskyläisten negatiivisten efektien vastustus"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","Parempi käskyläisten negatiivisten efektien vastustus"
"herocard.passive_skill.title.resistnewfamiliars.parasite","Riiviöiden vastustus"
"herocard.passive_skill.title.resistnewfamiliars.parasite.bigparasite","Riiviöiden ja megariiviöiden vastustus"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","Vaivojen vastustus"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","Elvytyksen mahdollisuuden vähennys"
"herocard.passive_skill.title.revivalhealthmodifier.all.enemies.excluding.boss","Elvytyksen terveyden vähennys"
"herocard.passive_skill.title.revive_chance_nine_lives","Yhdeksän elämää"
"herocard.passive_skill.title.reviveinalternativeformwithinsanitychance","Ikiaikainen sopimus"
"herocard.passive_skill.title.revivewithchance","Elvytys"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Nopea tempo: Balladi"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Nopea tempo: Tanssi"
"herocard.passive_skill.title.sharereceiveddamage","Kärsityn vaurion jakaminen"
"herocard.passive_skill.title.short.generic","Passiivinen"
"herocard.passive_skill.title.short.league","Etu"
"herocard.passive_skill.title.short.league.non_featured","Haitta"
"herocard.passive_skill.title.short.trait","Piirre"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","Elementaalinaamio"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","Joukkojen mestari"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","Joukkojen mestari"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_blue_on_special_titan_hunter_parent","Kilpien vahvistus erikoistaidosta"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_green_on_special_titan_hunter_parent","Kilpien vahvistus erikoistaidosta"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_purple_on_special_titan_hunter_parent","Kilpien vahvistus erikoistaidosta"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_red_on_special_titan_hunter_parent","Kilpien vahvistus erikoistaidosta"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_yellow_on_special_titan_hunter_parent","Kilpien vahvistus erikoistaidosta"
"herocard.passive_skill.title.specialdamagereduction","Vähemmän vauriota erikoistaidoista"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","Vähemmän vauriota erikoistaidoista"
"herocard.passive_skill.title.startbattlewitheffect.addmana","Manaa heti taistelun alussa"
"herocard.passive_skill.title.statmodifier.attack","Raivopää"
"herocard.passive_skill.title.statmodifier.defense","Suojakuori"
"herocard.passive_skill.title.statmodifier.health","Kestävä"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","Tehostaa hyökkäystilaefektejä"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","Hyökkäysvaivojen vähennys"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","Hyökkäysvaivojen vähennys"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","Tehostaa hyökkäystilaefektejä"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","Hyökkäysvaivojen vähennys"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","Tehostaa puolustustilaefektejä"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","Puolustusvaivojen vähennys"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","Puolustusvaivojen vähennys"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","Tehostaa puolustustilaefektejä"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","Puolustusvaivojen vähennys"
"herocard.passive_skill.title.statuseffectdurationmodifier","Pidempi tehosteiden kesto"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Lyhyempi vaivojen kesto"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Lyhyempi puolustusvaivojen kesto"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Pidempi tehosteiden kesto"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","Vaivan kopiointi puhdistuksesta"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","Metsästäjän tarmo"
"herocard.passive_skill.title.statuseffectonspecialcast.damageonhitreceived","Titaaninmetsästäjän merkki"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","Gargoilin pehmonahka"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","Gargoilin kivinahka"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","Manatuotantotehoste vaivoista"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","Elementaalinaamio"
"herocard.passive_skill.title.stylish","Tyylikäs!"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies","Siementaimien kutsuja"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Siementaimien kutsuja"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Siementaimien kutsuja"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Limakäskyläinen kukistuessa"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Limakäskyläinen kukistuessa"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Limakäskyläinen kukistuessa"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Limakäskyläinen kukistuessa"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Limakäskyläinen kukistuessa"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","Limakäskyläisen jakautuminen"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","Limakäskyläisen jakautuminen"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","Limakäskyläisen jakautuminen"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","Limakäskyläisen jakautuminen"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Limakäskyläisen jakautuminen"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","Kutsu palovaivasta"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","Kutsu ajan mittaan tulevasta vauriosta"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","Käskyläisen kutsu saataessa puolustusvaiva"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","Varpustenkutsuja"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Kirottujen taimien kutsuja"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Siementaimien kutsuja"
"herocard.passive_skill.title.taunt","Piikittelystä piittaamaton"
"herocard.passive_skill.title.titan_dread_damage_minions","Kammo"
"herocard.passive_skill.title.titan_dread_damage_minions_15","Kammo"
"herocard.passive_skill.title.titan_dread_damage_minions_16","Kammo"
"herocard.passive_skill.title.titan_dread_damage_minions_17","Kammo"
"herocard.passive_skill.title.titan_resist_15","Titaani"
"herocard.passive_skill.title.titan_resist_16","Titaani"
"herocard.passive_skill.title.titan_resist_17","Titaani"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","Piirretty"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","Tehosteiden muuttaminen"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Tehosteiden muuttaminen"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Vaivojen muuttaminen"
"herocard.passive_skill.title.wither.all.enemies","Näivettäminen"
