"herocard.passive_skill.description.addmana.all.allies","يكتسب جميع الحلفاء كمية صغيرة من القوة."
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","استعادة الصحة عند تلقي العلاوة"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","استعادة الصحة في حالة مرض"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","تلقي علاوة القوة في حالة المرض"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","القوة التي تم تلقيها على العلاوة"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","استعادة الصحة عند تلقي العلاوة"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","تعزيز الصحة عند إزالة تأثير الحالة"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","الضرر الناتج عند إزالة تأثير الحالة"
"herocard.passive_skill.title.effectovertime.revival","إعادة الإحياء بمرور الوقت"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","القوة لكل علاوة عدو"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","تعزيز الصحة على السم"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","القوة عند استدعاء تابع"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","شرير الأصدقاء"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","القوة عند استدعاء الشرير"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","غضب الحيوانات الأليفة"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","تعزيز الصحة عند استدعاء الشرير"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","عمى الأتباع"
"herocard.passive_skill.title.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core","مركز التابع"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","أتباع ضخام أضعف"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","أتباع أضعف"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","إيقاف الأتباع الضخام"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","إيقاف الأتباع"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","قوة على الصقيع"
"herocard.passive_skill.title.glass_reflect_debuffs","زجاجي"
"herocard.passive_skill.title.growth","النمو"
"herocard.passive_skill.title.guaranteedeffectonspecial","التأثير المضمون على المهارة الخاصة"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","شفاء منخفض"
"herocard.passive_skill.title.healonheal.heal","شفاء إضافي"
"herocard.passive_skill.title.healonownfamiliardeath.minion","صحة من تابع ميت"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","صحة معززة من تابع ميت"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","هجوم متزايد لكل عدو لا ينتمي للطبيعة"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","هجوم متزايد لكل عدو لا ينتمي للنار"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","ضرر إضافي للأتباع والأتباع الضخام"
"herocard.passive_skill.title.increaseddamageagainstminions","الضرر المتزايد ضد التوابع"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","الضرر المتزايد ضد الاستهزاء"
"herocard.passive_skill.title.increasespecialdamage","تمت زيادة ضرر المهارة الخاصة"
"herocard.passive_skill.title.increasespecialdamage.usable_once","تمت زيادة ضرر المهارة الخاصة"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","تمت زيادة ضرر المهارة الخاصة"
"herocard.passive_skill.title.insanitydamagereduction","وضع القدماء عليه علامة"
"herocard.passive_skill.title.iterateeffectonspecial","فرصة إضافية للتأثيرات على المهارة الخاصة"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","عيب الدوري"
"herocard.passive_skill.title.league_featured_family_resist","ميزة الدوري"
"herocard.passive_skill.title.league_heal_modifier_against_family","عيب الدوري"
"herocard.passive_skill.title.league_heal_modifier_for_family","ميزة الدوري"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","ميزة الدوري"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","إعاقة القوة"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","القوة الخاصة بموت التابع"
"herocard.passive_skill.title.manaonstatuseffect.debuff","قوة للأمراض"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","تذكر أتباع وأشرار العدو"
"herocard.passive_skill.title.memorizestatuseffects","تذكر أمراض الحالات"
"herocard.passive_skill.title.mimic_dread_damage_minions","الفزع"
"herocard.passive_skill.title.mimiclootonlevelcompleted","غنيمة المحاكاة"
"herocard.passive_skill.title.nevermissspecial","الدقة المثالية"
"herocard.passive_skill.title.ransack","فرصة اللص"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","سرقة العلاوة"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","حاسة الصياد"
"herocard.passive_skill.title.received_strong_troop_damage_pve","خفض ضرر القوات"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","براعة القوات"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage.increase.dragon","زيادة في ضرر الكرة النارية القوية"
"herocard.passive_skill.title.redirectlethaldamage.enemies.single","خداع الموت"
"herocard.passive_skill.title.remove_growth_from_enemies","تجمّع الحراس"
"herocard.passive_skill.title.remove_wither_from_allies","تجمّع الحراس"
"herocard.passive_skill.title.repaircoreintrinsicchargeeffectonspecial.healthboost","مركز الإصلاح"
"herocard.passive_skill.title.repeat_special_once","محظوظ"
"herocard.passive_skill.title.resist.accuracymodifiers","مقاومة العمى"
"herocard.passive_skill.title.resist.alldebuffs","مقاوَمة حالات الأمراض"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","مقاومة جميع الأمراض"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","مقاومة القمة"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","مقاومة أمراض الدفاع"
"herocard.passive_skill.title.resist.alldefensemodifiers.defensewither.alldebuffs","مقاومة تحفيض الدفاع"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","مقاومة أمراض القوة"
"herocard.passive_skill.title.resist.allmanaeffects.manareduction.alldebuffs","مقاومة تأثيرات القوة السلبية"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","مقاومة ضرر تأثيرات الحالة"
"herocard.passive_skill.title.resist.attackdelay","مقاومة تأخر الهجوم"
"herocard.passive_skill.title.resist.attackmodifiers","قاوم أمراض الهجوم"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","قاوم تأثيرات حالة الهجوم"
"herocard.passive_skill.title.resist.attackmodifiers.attackwither.alldebuffs","مقاومة تخفيض الهجوم"
"herocard.passive_skill.title.resist.bleed","مقاومة النزيف"
"herocard.passive_skill.title.resist.bleed.with_effect.healthboost.addmana","مقاومة النزيف المعززة"
"herocard.passive_skill.title.resist.buffdispels","مقاومة الحذف"
"herocard.passive_skill.title.resist.buffimmunity","مقاومة حجب التعزيز"
"herocard.passive_skill.title.resist.burn","مقاومة الاحتراق"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","مقاومة الاحتراق المعززة"
"herocard.passive_skill.title.resist.criticalhits.none","مقاومة الضربات الحرجة"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","مقاومة أمراض الدفاع"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","توابع لا تُقهر"
"herocard.passive_skill.title.resist.frost","مقاومة الصقيع"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","مقاومة الصقيع المعززة"
"herocard.passive_skill.title.resist.healeffects","مقاومة شفاء الأمراض"
"herocard.passive_skill.title.resist.healthsteal","مقاومة الأمراض التي تسرق الصحة"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","مقاومة الجنون"
"herocard.passive_skill.title.resist.manadebuffs","مقاومة أمراض القوة"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","مقاومة أمراض القوة وحجب المهارات الخاصة"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","مقاومة أمراض توليد الطاقة"
"herocard.passive_skill.title.resist.manareduction","مقاومة تحفيض القوة المباشر"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","مقاومة تحفيض القوة المعززة"
"herocard.passive_skill.title.resist.maxhealthreduction","مقاومة خفض الصحة القصوى"
"herocard.passive_skill.title.resist.poison","مقاومة السمّ"
"herocard.passive_skill.title.resist.poison.burn.bleed","يقاوم السم، والحرق، والنزيف"
"herocard.passive_skill.title.resist.possession.allstatuseffects","مقاومة الاستحواذ"
"herocard.passive_skill.title.resist.sand","مقاومة الرمال"
"herocard.passive_skill.title.resist.specialblocking","مقاومة حجب المهارات الخاصة"
"herocard.passive_skill.title.resist.specialblocking.with_effect.healthboost.addmana","مقاومة حجب المهارات الخاصة المعززة"
"herocard.passive_skill.title.resist.stopmanageneration","مقاومة إيقاف توليد القوة"
"herocard.passive_skill.title.resist.water","مقاومة الماء"
"herocard.passive_skill.title.resist_all_defense_effects","السمة: 
إطار أنيق"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","مقاومة حالات الأمراض من التوابع"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","مقاومة إزالة الأتباع"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","مقاومة تأثيرات الأتباع السلبية"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","المقاومة الفائقة لتأثيرات الأتباع السلبية"
"herocard.passive_skill.title.resistnewfamiliars.parasite","قاوم الأشرار"
"herocard.passive_skill.title.resistnewfamiliars.parasite.bigparasite","مقاومة الأشرار، والأشرار الضخام"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","مقاوَمة حالات الأمراض"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","خفض فرصة الإحياء"
"herocard.passive_skill.title.revivalhealthmodifier.all.enemies.excluding.boss","تقليل إعادة إحياء الصحة"
"herocard.passive_skill.title.revive_chance_nine_lives","9 حيوات"
"herocard.passive_skill.title.reviveinalternativeformwithinsanitychance","عهد الشعوذة"
"herocard.passive_skill.title.revivewithchance","إعادة الإحياء"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","إيقاع سريع: الأغاني"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","إيقاع سريع: الرقص"
"herocard.passive_skill.title.sharereceiveddamage","مشاركة الضرر المتلقى"
"herocard.passive_skill.title.short.generic","غير نشطة"
"herocard.passive_skill.title.short.league","ميزة"
"herocard.passive_skill.title.short.league.non_featured","عيب"
"herocard.passive_skill.title.short.trait","السمة"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","القناع العنصري"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","براعة القوات"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","براعة القوات"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_blue_on_special_titan_hunter_parent","دروع معززة عند استخدام المهارة الخاصة"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_green_on_special_titan_hunter_parent","دروع معززة عند استخدام المهارة الخاصة"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_purple_on_special_titan_hunter_parent","دروع معززة عند استخدام المهارة الخاصة"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_red_on_special_titan_hunter_parent","دروع معززة عند استخدام المهارة الخاصة"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_yellow_on_special_titan_hunter_parent","دروع معززة عند استخدام المهارة الخاصة"
"herocard.passive_skill.title.specialdamagereduction","تقليل ضرر المهارة الخاصة"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","تقليل ضرر المهارة الخاصة"
"herocard.passive_skill.title.startbattlewitheffect.addmana","بداية المعركة باستخدام القوة"
"herocard.passive_skill.title.statmodifier.attack","مفترس"
"herocard.passive_skill.title.statmodifier.defense","مدرع"
"herocard.passive_skill.title.statmodifier.health","مثابر"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","زيادة هجوم تأثير حالة"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","خفض أمراض الهجوم"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","خفض أمراض الهجوم"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","زيادة هجوم تأثير حالة"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","خفض أمراض الهجوم"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","زيادة دفاع تأثير حالة"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","خفض أمراض الدفاع"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","خفض أمراض الدفاع"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","زيادة دفاع تأثير حالة"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","خفض أمراض الدفاع"
"herocard.passive_skill.title.statuseffectdurationmodifier","زِد من مدة التعزيزات"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","قلِّل من مدة الأمراض"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","قلِّل من مدة مرض الدفاع"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","زِد من مدة التعزيزات"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","نسخ المرض عند تطهيره"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","قوة الصياد"
"herocard.passive_skill.title.statuseffectonspecialcast.damageonhitreceived","علامة صائد العمالقة"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","بشرة المزراب الناعمة"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","بشرة المزراب الحجرية"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","علاوة توليد القوة من الأمراض"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","القناع العنصري"
"herocard.passive_skill.title.stylish","أنيق!"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies","مُستدعى البذرة"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","مُستدعى البذرة"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies","مُستدعى البذرة"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","مُستدعى البذرة"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","مُستدعى البذرة"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","مُستدعى البذرة"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","تابع سلايم عند الهزيمة"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","تابع سلايم عند الهزيمة"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","تابع سلايم عند الهزيمة"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","تابع سلايم عند الهزيمة"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","تابع سلايم عند الهزيمة"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","انفصال التابع السلايم"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","انفصال التابع السلايم"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","انفصال التابع السلايم"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","انفصال التابع السلايم"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","انفصال التابع السلايم"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","استدعِ عند الاحتراق"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","الاستدعاء عند الضرر بمرور الوقت"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","استدعاء تابع على أمراض الدفاع"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","مستدعي العصفور"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","مستدعي النبتة الملعونة"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","مُستدعى البذرة"
"herocard.passive_skill.title.targetstatedependenteffectonspecial.healthboost.checkstate.all.allies.dance","الراقص الرشيق"
"herocard.passive_skill.title.taunt","تجاهل الاستهزاء"
"herocard.passive_skill.title.titan_dread_damage_minions","الفزع"
"herocard.passive_skill.title.titan_dread_damage_minions_15","الفزع"
"herocard.passive_skill.title.titan_dread_damage_minions_16","الفزع"
"herocard.passive_skill.title.titan_dread_damage_minions_17","الفزع"
"herocard.passive_skill.title.titan_resist_15","عملاق"
"herocard.passive_skill.title.titan_resist_16","عملاق"
"herocard.passive_skill.title.titan_resist_17","عملاق"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","كرتوني"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","تحويل التعزيزات"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","تحويل التعزيزات"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","تحويل حالة الأمراض"
"herocard.passive_skill.title.wither.all.enemies","التلف"
