"heroes.name_fancy.astral_cosmicspeaker","القزم النجمي عالم الفلك"
"heroes.name_fancy.outlaw_wu_song","البطل مقاتل النمر من حافة الماء"
"heroes.name_fancy.outlaw_wu_yong","نجم المعرفة من حافة الماء"
"heroes.name_fancy.outlaw_xiang_chong","النجم الطائر من حافة الماء"
"heroes.name_fancy.outlaw_zheng_tianshou","الرجل ذو الوجه الوسيم من حافة الماء"
"heroes.name_fancy.owl_cennius","المخلب الخفي لبرج البوم"
"heroes.name_fancy.owl_eron","منشد برج البوم"
"heroes.name_fancy.owl_featherino","مثير الشغب والاضطرابات في برج البوم"
"heroes.name_fancy.owl_fulvia","ملكة برج البوم"
"heroes.name_fancy.owl_juliani","قاضي برج البوم"
"heroes.name_fancy.owl_livia","رئيسة كاهنات برج البوم"
"heroes.name_fancy.owl_lodius","مسعور برج البوم"
"heroes.name_fancy.owl_mariol","فتاة حاشية برج البوم"
"heroes.name_fancy.owl_olbec","خيميائي برج البوم"
"heroes.name_fancy.owl_ommodus","محامي برج البوم"
"heroes.name_fancy.owl_paeia","أميرة برج البوم"
"heroes.name_fancy.owl_pertinax","فارس حراسة برج البوم"
"heroes.name_fancy.owl_relius","اختصاصي أعشاب برج البوم"
"heroes.name_fancy.owl_timius","طليعة جيش برج البوم الملكي"
"heroes.name_fancy.owl_verus","قائد فرقة استطلاع برج البوم"
"heroes.name_fancy.pirate_anne","رمز كوريليا"
"heroes.name_fancy.pirate_boatswain","ربان كوريليا"
"heroes.name_fancy.pirate_cabin_boy","خادم كوريليا"
"heroes.name_fancy.pirate_cabin_boy_costume_paper","ساعي الشاطئ"
"heroes.name_fancy.pirate_commodore_finley","عميد كوريليا"
"heroes.name_fancy.pirate_commodore_finley_costume_bleak","القائد البائس"
"heroes.name_fancy.pirate_dread_captain","كابتن كوريليا الملعون"
"heroes.name_fancy.pirate_dread_captain_costume_rotten","ربان كوريليا الفاسد"
"heroes.name_fancy.pirate_finley","ربان كوريليا الانتقامي"
"heroes.name_fancy.pirate_first_mate","نائب ربّان كوريليا"
"heroes.name_fancy.pirate_lady","سيدة كوريليا"
"heroes.name_fancy.pirate_lady_costume_queen","ملكة المتمردين"
"heroes.name_fancy.pirate_marie_therese","ملكة شعوذة كوريليا"
"heroes.name_fancy.pirate_marie_therese_costume_priestess","الكاهنة قابضة الأرواح"
"heroes.name_fancy.pirate_sally","تميمة كوريليا"
"heroes.name_fancy.pirate_swashbuckler","الكابتن قرصان كوريليا"
"heroes.name_fancy.pirate_vodnik","صياد كوريليا"
"heroes.name_fancy.rabbit_blue","حارس سبرينغفايل"
"heroes.name_fancy.rabbit_blue_costume_riftbreaker","فالق الصدع"
"heroes.name_fancy.rabbit_green","بطل سبرينغفايل"
"heroes.name_fancy.rabbit_green_costume_egg_hunter","صائد بيض سبرينغفايل"
"heroes.name_fancy.rabbit_red","حامل دروع سبرينغفايل"
"heroes.name_fancy.royal_female_knight","البطل العنيد"
"heroes.name_fancy.royal_female_knight_costume_cute","البطل الكرتوني"
"heroes.name_fancy.royal_female_knight_costume_glass","البطل الزجاجي"
"heroes.name_fancy.royal_female_knight_costume_prospector","المنقب المتعمد"
"heroes.name_fancy.royal_female_knight_costume_winter","بطل الفايكينغ"
"heroes.name_fancy.royal_knight","الفارس الحامي"
"heroes.name_fancy.royal_knight_commander","حاكم فروستمورو"
"heroes.name_fancy.royal_knight_commander_costume_cute","فروستمورو الكرتوني"
"heroes.name_fancy.royal_knight_commander_costume_glass","فيتريل من فروستمورو"
"heroes.name_fancy.royal_knight_commander_costume_gryphon","غرفين من دراكيبلاست"
"heroes.name_fancy.royal_knight_commander_costume_king","الملك فروستمورو"
"heroes.name_fancy.royal_knight_costume_blacksmith","الحداد الشجاع"
"heroes.name_fancy.royal_knight_costume_cute","الفارس الكرتوني"
"heroes.name_fancy.royal_knight_costume_glass","الفارس الزجاجي"
"heroes.name_fancy.royal_pikeman","الحارس الجدي"
"heroes.name_fancy.s2_ariel","أميرة أطلانطس"
"heroes.name_fancy.s2_ariel_costume_cute","أميرة أطلانطس الكرتونية"
"heroes.name_fancy.s2_ariel_costume_enchanter","ساحر أطلانطس"
"heroes.name_fancy.s2_atlantean_robot","مراقب أطلانطس"
"heroes.name_fancy.s2_atlantean_robot_costume_cute","المراقب الأطلانطي الكرتوني"
"heroes.name_fancy.s2_atlantean_robot_costume_sentinel","حارس أطلنطي"
"heroes.name_fancy.s2_chameleon_bruiser","الحرباء المحاربة"
"heroes.name_fancy.s2_chameleon_chief","جنرال الحرباء"
"heroes.name_fancy.s2_chameleon_chief_costume_heavyweight","بطل العالم في الأوزان الثقيلة"
"heroes.name_fancy.s2_chameleon_mage","الشامان المتخفي"
"heroes.name_fancy.s2_chameleon_mage_costume_alchemist","الخيميائي الحرباء"
"heroes.name_fancy.s2_chameleon_mage_costume_cute","الشامان المتخفي الكرتوني"
"heroes.name_fancy.s2_croc_man","سفاك المستنقع"
"heroes.name_fancy.s2_cursed_samurai","سيد الحرب الملعون"
"heroes.name_fancy.s2_cursed_samurai_costume_beetle","الساموراي الخنفساء"
"heroes.name_fancy.s2_cursed_samurai_costume_cute","السيد الكرتوني الملعون"
"heroes.name_fancy.s2_demon_master","داي-ميو الخدّاع"
"heroes.name_fancy.s2_demon_master_costume_cute","الكرتوني الخداع"
"heroes.name_fancy.s2_demon_master_costume_steppe","حارس الدهاء الليلي"
"heroes.name_fancy.s2_fiji_mermaid","صياد المياه الضحلة"
"heroes.name_fancy.s2_fiji_mermaid_costume_cute","الصائدة الكرتونية"
"heroes.name_fancy.s2_fiji_mermaid_costume_hunter","مطارد المستنقعات الضحلة"
"heroes.name_fancy.s2_fox_girl","روح ذات تسعة أذيال"
"heroes.name_fancy.s2_fox_girl_costume_cute","الكرتونية ذات التسعة أذيال"
"heroes.name_fancy.s2_fox_girl_costume_white_kitsune","روح كيتسون الأبيض"
"heroes.name_fancy.s2_ghost_woman","الشبح الوحيد"
"heroes.name_fancy.s2_ghost_woman_costume_yurei","الشبح الوحيد"
"heroes.name_fancy.s2_hammerhead_hulk","الجزار المتوحش"
"heroes.name_fancy.s2_hammerhead_hulk_costume_emerald","سيد النصال الشرس"
"heroes.name_fancy.s2_junglehunter","أمير الأدغال"
"heroes.name_fancy.s2_junglehunter_costume_cute","كرتوني الأدغال"
"heroes.name_fancy.s2_junglehunter_costume_party","أمير اللاو"
"heroes.name_fancy.s2_lantern_ghost","مصباح يوكاي"
"heroes.name_fancy.s2_mercenary_woman","المرتزق المهيب"
"heroes.name_fancy.s2_mercenary_woman_costume_dancer","راقصة الهولا المذهلة"
"heroes.name_fancy.s2_merman","حوريّ أطلنطس"
"heroes.name_fancy.s2_merman_costume_cute","الحوري الكرتوني"
"heroes.name_fancy.s2_merman_costume_leutenant","ملازم أطلانطس"
"heroes.name_fancy.s2_merwoman","حورية أطلانطس"
"heroes.name_fancy.s2_merwoman_costume_cute","الحورية الكرتونية"
"heroes.name_fancy.s2_merwoman_costume_emissary","مبعوث أطلانطس"
"heroes.name_fancy.s2_noble_lady","الجمال الفتاك"
"heroes.name_fancy.s2_noble_lady_costume_cute","الجميلة الكرتونية"
"heroes.name_fancy.s2_noble_lady_costume_warrior","الجمال المتوهج"
"heroes.name_fancy.s2_oceanus","عملاق البحر"
"heroes.name_fancy.s2_oceanus_costume_volcano","عملاق الحمم البركانية"
"heroes.name_fancy.s2_poseidon","حاكم أطلانطس"
"heroes.name_fancy.s2_poseidon_costume_cute","حاكم أطلانطس الكرتوني"
"heroes.name_fancy.s2_poseidon_costume_slayer","قاتل أطلانطس"
"heroes.name_fancy.s2_proteus","ساحر أطلانطس"
"heroes.name_fancy.s2_proteus_costume_cute","ساحر أطلانطس الكرتوني"
"heroes.name_fancy.s2_proteus_costume_farseer","فارس أطلانتس"
"heroes.name_fancy.s2_rugged_fisherman","الصياد الشجاع"
"heroes.name_fancy.s2_rugged_fisherman_costume_cute","الصياد الشجاع الكرتوني"
"heroes.name_fancy.s2_rugged_fisherman_costume_sake_master","صانع خمور جرئ"
"heroes.name_fancy.s2_skyllaros","حارس أطلانطس"
"heroes.name_fancy.s2_skyllaros_costume_cute","حارس أطلانطس الكرتوني"
"heroes.name_fancy.s2_skyllaros_costume_reef","حارس المرجان"
"heroes.name_fancy.s2_straw_demon","عفريت القش"
"heroes.name_fancy.s2_tanuki_raccoon","الخادع الباسل"
"heroes.name_fancy.s2_tanuki_raccoon_costume_merchant","التاجر الشجاع"
"heroes.name_fancy.s2_tethys","سيدة جميع الأنهار"
"heroes.name_fancy.s2_tethys_costume_steel","منتقمة كل الأنهار"
"heroes.name_fancy.s2_triton","قبطان أطلانطس"
"heroes.name_fancy.s2_triton_costume_champion","بطل أطلانتس"
"heroes.name_fancy.s2_ursena","امبراطورة الأعماق"
"heroes.name_fancy.s2_ursena_costume_cute","كرتونية الأعماق"
"heroes.name_fancy.s2_ursena_costume_reef","ملكة المرجان القاتلة"
"heroes.name_fancy.s3_agnes","القروي الشجاع"
"heroes.name_fancy.s3_alfrike","ملكة سفارتالفهايم"
"heroes.name_fancy.s3_alfrike_costume_hatter","صانع قبعات سفارتالفهايم"
"heroes.name_fancy.s3_almur","سيف ظلال سفارتالفهايم"
"heroes.name_fancy.s3_almur_costume_lord","لورد سفارتالفهايم"
"heroes.name_fancy.s3_anwindr","ملاكم الفايكينغ الملعون"
"heroes.name_fancy.s3_baldur","الإله المضيء"
"heroes.name_fancy.s3_baldur_costume_fiery","السيد الناري"
"heroes.name_fancy.s3_bera","أميرة ديزير"
"heroes.name_fancy.s3_bera_costume_conjurer","ساحر ديزير"
"heroes.name_fancy.s3_bjorn","القروي الشجاع"
"heroes.name_fancy.s3_bjorn_costume_viking","الجندي الشجاع"
"heroes.name_fancy.s3_brynhild","حاملة الدرع الفالكيرية"
"heroes.name_fancy.s3_by_ulf","مشاكس الفايكينغ الملعون"
"heroes.name_fancy.s3_ei_dunn","مقاتل الفايكينغ الملعون"
"heroes.name_fancy.s3_ei_dunn_costume_shield","مقاتل الفايكينغ المفترس"
"heroes.name_fancy.s3_fenrir","قائد نيفلهايم"
"heroes.name_fancy.s3_fenrir_costume_guardian","حارس نيفلهايم"
"heroes.name_fancy.s3_freya","سيدة المقتولين"
"heroes.name_fancy.s3_freya_costume_witch","ساحرة الساقطين"
"heroes.name_fancy.s3_frigg","سيدة التبصر"
"heroes.name_fancy.s3_frigg_costume_clairvoyance","سيدة الفطنة"
"heroes.name_fancy.s3_fura","مُسمم سفارتالفهايم"
"heroes.name_fancy.s3_fura_costume_herbalist","اختصاصي أعشاب سفارتالفهايم"
"heroes.name_fancy.s3_gefjon","سيدة الحصاد"
"heroes.name_fancy.s3_gefjon_costume_wilderness","سيدة البرية"
"heroes.name_fancy.s3_grevle","الغرير الماكر"
"heroes.name_fancy.s3_gullinbursti","الخنزير الذهبي"
"heroes.name_fancy.s3_gullinbursti_costume_toxic","الخنزير المتحرر"
"heroes.name_fancy.s3_heimdall","المراقب اليقظ"
"heroes.name_fancy.s3_heimdall_costume_dreaded","الحارس المروع"
"heroes.name_fancy.s3_jarvur","اللقام الملاكم"
"heroes.name_fancy.s3_jott","عملاق الثلج البربري"
"heroes.name_fancy.s3_kvasir","نحّال ألفهايم"
"heroes.name_fancy.s3_kvasir_costume_captain","قائد نحل ألفهايم"
"heroes.name_fancy.s3_loki_female","سيدة المخادعة"
"heroes.name_fancy.s3_loki_female_costume_mother","الأم المخادعة"
"heroes.name_fancy.s3_loki_fish","السمكة المخادعة"
"heroes.name_fancy.s3_loki_fish_costume_dapper","السمكة المتأنقة"
"heroes.name_fancy.s3_loki_male","سيد المخادعة"
"heroes.name_fancy.s3_loki_male_costume_shapeshifter","إله الشكل"
"heroes.name_fancy.s3_mireweave","الدروغر الرشيق"
"heroes.name_fancy.s3_mist","قائدة الفالكيريات"
"heroes.name_fancy.s3_nordri","قزم ثلج جوتونهايم"
"heroes.name_fancy.s3_nordri_costume_explorer","القزم المستكشف من جوتونهايم"
"heroes.name_fancy.s3_norns","حائكو المصير"
"heroes.name_fancy.s3_norns_costume_puppeteers","محركو دمى المصير"
"heroes.name_fancy.s3_odin","الأب الأعظم الحكيم"
"heroes.name_fancy.s3_odin_costume_champion","الأب الأعظم الجريء"
"heroes.name_fancy.s3_ratatoskr","مِرسال إغدراسيل"
"heroes.name_fancy.s3_ratatoskr_costume_architect","معماري إغدراسيل"
"heroes.name_fancy.s3_shadereave","الدروغر الفظ"
"heroes.name_fancy.s3_sif","الإلهة الشقراء"
"heroes.name_fancy.s3_sif_costume_golden","السيدة الذهبية"
"heroes.name_fancy.s3_skadi","إلهة جوتونهايم"
"heroes.name_fancy.s3_skadi_costume_ravager","حارسة جوتونهايم"
"heroes.name_fancy.s3_stonecleave","دروغر المتصلّب"
"heroes.name_fancy.s3_sudri","قزم نار موسبلهايم"
"heroes.name_fancy.s3_sumle","عملاق النار الضخم"
"heroes.name_fancy.s3_sumle_costume_unhallowed","عملاق النار الشرير"
"heroes.name_fancy.s3_thor","زعيم البرق"
"heroes.name_fancy.s3_thor_costume_conduit","وسيط الرعد"
"heroes.name_fancy.s3_tyr","جاستيس المتصلب"
"heroes.name_fancy.s3_tyr_costume_savage","العدالة الوحشية"
"heroes.name_fancy.s4_akkorog","زعيم المورلوك"
"heroes.name_fancy.s4_akkorog_costume_football","عودة المورلوك"
"heroes.name_fancy.s4_aouda","الأميرة العطوفة"
"heroes.name_fancy.s4_aouda_costume_lotus","أميرة اللوتس"
"heroes.name_fancy.s4_captain_nemo","المستكشف المجهول"
"heroes.name_fancy.s4_captain_nemo_costume_machinist","الميكانيكي المجهول"
"heroes.name_fancy.s4_congalach","محارب الأعماق"
"heroes.name_fancy.s4_congalach_costume_kelp","محارب الطحالب"
"heroes.name_fancy.s4_doctor_moreau","العالم المخادع"
"heroes.name_fancy.s4_doctor_moreau_costume_scribe","الكاتب المخادع"
"heroes.name_fancy.s4_elizabeth","عنكبوت أرستقراطي"
"heroes.name_fancy.s4_elizabeth_costume_bride","العروس الأرستقراطية"
"heroes.name_fancy.s4_exeera","كاهن الأخطبوط"
"heroes.name_fancy.s4_exeera_costume_hierophant","هيرفنت الأخطبوط"
"heroes.name_fancy.s4_garjammal","سيد معارك مورلوك"
"heroes.name_fancy.s4_garjammal_costume_kite","سيد الطائرة مورلوك"
"heroes.name_fancy.s4_gramps","القزم المسن"
"heroes.name_fancy.s4_gramps_costume_gardener","البستاني القزم"
"heroes.name_fancy.s4_griffin","الرجل الخفي"
"heroes.name_fancy.s4_griffin_costume_priest","الكاهن الخفي"
"heroes.name_fancy.s4_hannah","عالم آثار مغامر"
"heroes.name_fancy.s4_hannah_costume_drover","السائق المغامر"
"heroes.name_fancy.s4_helo","صياد الإيلوي"
"heroes.name_fancy.s4_helo_costume_baker","خبازة إلوي"
"heroes.name_fancy.s4_hulda","زعيم الخِلدَان"
"heroes.name_fancy.s4_hulda_costume_nurse","رئيسة الممرضين"
"heroes.name_fancy.s4_kravekrush","الإيتين القائد"
"heroes.name_fancy.s4_kravekrush_costume_grillmaster","إتين سيد الشواء"
"heroes.name_fancy.s4_lepiota","قائد الإيلوي"
"heroes.name_fancy.s4_lepiota_costume_undying","القائد الخالد"
"heroes.name_fancy.s4_lughaidh","ملك الأعماق"
"heroes.name_fancy.s4_lughaidh_costume_deathless","الملك الخالد"
"heroes.name_fancy.s4_mack","المغامر القزم"
"heroes.name_fancy.s4_mack_costume_novelist","الروائي القزم"
"heroes.name_fancy.s4_morel","صائد الإيلوي"
"heroes.name_fancy.s4_morel_costume_sage","حكيم الإيلوي"
"heroes.name_fancy.s4_morris","الرجل الخلد القوي"
"heroes.name_fancy.s4_morris_costume_potter","الرجل الخلد الخزاف"
"heroes.name_fancy.s4_octros","بطل الأخطبوط"
"heroes.name_fancy.s4_octros_costume_suitor","العاشق الرخوي"
"heroes.name_fancy.s4_passepartout","المسافر البارع"
"heroes.name_fancy.s4_passepartout_costume_artist","الفنان الأنيق"
"heroes.name_fancy.s4_phileas_fogg","المسافر الشجاع"
"heroes.name_fancy.s4_phileas_fogg_costume_engineer","مهندس متقن"
"heroes.name_fancy.s4_poppy","القزم الرامي"
"heroes.name_fancy.s4_poppy_costume_lodger","النزيلة القزمة"
"heroes.name_fancy.s4_professor_lidenbrock","العالمة الحكيمة"
"heroes.name_fancy.s4_professor_lidenbrock_costume_jeweler","الصائغة الحكيمة"
"heroes.name_fancy.s4_rokkamush","الإيتين المحطّم"
"heroes.name_fancy.s4_rokkamush_costume_mason","بناء الإيتين"
"heroes.name_fancy.s4_russula","الإيلوي المحتال"
"heroes.name_fancy.s4_russula_costume_painter","رسام الإيلوي"
"heroes.name_fancy.s4_tettukh","مورلوك الوحشي"
"heroes.name_fancy.s4_tettukh_costume_cheerleader","مشجع المورلوك"
"heroes.name_fancy.s4_vollermork","المورلوك المكتنز"
"heroes.name_fancy.s4_vollermork_costume_bartender","نادل من المورلوك"
"heroes.name_fancy.s4_xenda","وريثة العالم السفلي"
"heroes.name_fancy.s4_xenda_costume_flame","وريثة اللهب"
"heroes.name_fancy.s4_xnolphod","مشعوذ أخطبوطي"
"heroes.name_fancy.s4_xnolphod_costume_jailer","سجان أخطبوطي"
"heroes.name_fancy.s4_zekena","أمير الحريش"
"heroes.name_fancy.s4_zekena_costume_vines","أمير أبوسيناسيد"
"heroes.name_fancy.s4_zenobia","ملكة الحريش"
"heroes.name_fancy.s4_zenobia_costume_floral","الملكة أبوسيناسيد"
"heroes.name_fancy.s4_zila_lei","الأكتروبود القاتل"
"heroes.name_fancy.s4_zila_lei_costume_dancer","راقص أخطبوطي"
"heroes.name_fancy.s5_ahhotep","محارب المومياء"
"heroes.name_fancy.s5_ahhotep_costume_champion","بطل المومياء"
"heroes.name_fancy.s5_ahmose","المومياء الفرعونية"
"heroes.name_fancy.s5_ahmose_costume_reborn","الفرعون المتجدد"
"heroes.name_fancy.s5_anubis","سيد العالم الآخر"
"heroes.name_fancy.s5_anubis_costume_dancefloor","حَكم حلبة الرقص"
"heroes.name_fancy.s5_aqeela","القنفذ الخبير"
"heroes.name_fancy.s5_aqeela_costume_sorcerer","المشعوذ الخبير"
"heroes.name_fancy.s5_azmia","حارس الحانة القوي"
"heroes.name_fancy.s5_azmia_costume_dancing","حارس الحانة الراقص"
"heroes.name_fancy.s5_bastet","عين القمر"
"heroes.name_fancy.s5_bastet_costume_forest","عين الغابة"
"heroes.name_fancy.s5_bennu","روح الإبداع"
"heroes.name_fancy.s5_bennu_costume_heron","مالك الإبداع الحزين"
"heroes.name_fancy.s5_cleopatra","الفرعون السماوي"
"heroes.name_fancy.s5_cleopatra_costume_feline","فرعون القط"
"heroes.name_fancy.s5_el_naddaha","جنية النهر"
"heroes.name_fancy.s5_el_naddaha_costume_sea","جنية البحر"
"heroes.name_fancy.s5_eset","سيدة العشرة آلاف اسم"
"heroes.name_fancy.s5_eset_costume_goldensun","سيدة الشمس الذهبية"
"heroes.name_fancy.s5_faiez","المزارع المحظوظ"
"heroes.name_fancy.s5_faiez_costume_miner","عامل المنجم المحظوظ"
"heroes.name_fancy.s5_hathor","سيدة الأمومة"
"heroes.name_fancy.s5_hathor_costume_starlit","الأم المُضاءة بالنجوم"
"heroes.name_fancy.s5_hetepheres","أبو الهول الماكر"
"heroes.name_fancy.s5_hetepheres_costume_spa","فتاة أبو الهول في المنتجع الصحي"
"heroes.name_fancy.s5_horus","سيد الصيد"
"heroes.name_fancy.s5_horus_costume_golden","الصياد الذهبي"
"heroes.name_fancy.s5_jarif","الكاتب المتوتر"
"heroes.name_fancy.s5_jarif_costume_curator","المنسق المتوتر"
"heroes.name_fancy.s5_junaid","الجندي المحلف"
"heroes.name_fancy.s5_junaid_costume_champion","البطل المحلف"
"heroes.name_fancy.s5_khafre","أبو الهول البشري العنيف"
"heroes.name_fancy.s5_khafre_costume_aquatic","أبو الهول البشري المائي"
"heroes.name_fancy.s5_khepri","سيدة الخنافس"
"heroes.name_fancy.s5_khepri_costume_overlord","سيد الخنافس الأعلى"
"heroes.name_fancy.s5_khonshu","سيد القمر"
"heroes.name_fancy.s5_khonshu_costume_knight","فارس القمر"
"heroes.name_fancy.s5_maat","سيدة الإنسجام"
"heroes.name_fancy.s5_maat_costume_river","سيدة الإيتيرو"
"heroes.name_fancy.s5_meresankh","اسفنكس الشمس"
"heroes.name_fancy.s5_meresankh_costume_disco","سفينكس الديسكو"
"heroes.name_fancy.s5_papyros","جولم الورق والرمال"
"heroes.name_fancy.s5_papyros_costume_colossus","تمثال الورق والرمال الضخم"
"heroes.name_fancy.s5_ptolemy","الفرعون العجوز"
"heroes.name_fancy.s5_ptolemy_costume_log","سجل العجوز"
"heroes.name_fancy.s5_rekhetre","أبو الهول الشاب"
"heroes.name_fancy.s5_rekhetre_costume_artist","الفنان الشاب"
"heroes.name_fancy.s5_scoratek","حارس الخنفساء"
"heroes.name_fancy.s5_scoratek_costume_sentinel","حارس الخنفسة"
"heroes.name_fancy.s5_sekhmet","عين الشمس"
"heroes.name_fancy.s5_sekhmet_costume_warden","حارس الشمس"
"heroes.name_fancy.s5_set","غاصب الظلام"
"heroes.name_fancy.s5_set_costume_tyrant","طاغية الظلام"
"heroes.name_fancy.s5_sneferu","أبو الهول القمري"
"heroes.name_fancy.s5_sneferu_costume_vanquisher","قاهر القمر"
"heroes.name_fancy.s5_sobek","سيد النهر"
"heroes.name_fancy.s5_sobek_costume_guardian","حارس النهر"
"heroes.name_fancy.s5_tetisheri","ملكة المومياوات"
"heroes.name_fancy.s5_tetisheri_costume_molten","الملكة الذائبة"
"heroes.name_fancy.s5_waqas","درع الفرعون"
"heroes.name_fancy.s5_waqas_costume_blade","نصل الفرعون"
"heroes.name_fancy.sand_horse","فرس امبراطورية الرمال الموثوق بها"
"heroes.name_fancy.sand_king","ملك امبراطورية الرمال"
"heroes.name_fancy.sand_king_costume_lifeguard","ملك حراس الإنقاذ"
"heroes.name_fancy.sand_queen","ملكة امبراطورية الرمال"
"heroes.name_fancy.sand_queen_costume_surfer","ملكة التزلج"
"heroes.name_fancy.sand_roc","حامي إمبراطورية الرمال"
"heroes.name_fancy.sand_roc_costume_juice","حامي الشاطئ"
"heroes.name_fancy.sand_soldier","جندي امبراطورية الرمال"
"heroes.name_fancy.sand_tower","بهيم امبراطورية الرمال"
"heroes.name_fancy.sand_vizier","وزير امبراطورية الرمال"
"heroes.name_fancy.scoundrel_duval","رامي الخداع"
"heroes.name_fancy.scoundrel_lane","قاطع الطريق"
"heroes.name_fancy.shadow_abigail","المحققة الصحفية"
"heroes.name_fancy.shadow_asketel","الباحث عن المعرفة الضائعة"
"heroes.name_fancy.shadow_atwood","المأسور بالمجهول"
"heroes.name_fancy.shadow_burton","محقق أقزام البشر"
"heroes.name_fancy.shadow_cthuwu","ظهور المخلوقات العتيقة"
"heroes.name_fancy.shadow_dolores","المحقق الخاص المتهوّر"
"heroes.name_fancy.shadow_gwendoline","عالمة الآثار المتعصبة"
"heroes.name_fancy.shadow_hunter","سليل المخلوقات العتيقة"
"heroes.name_fancy.shadow_hysteria","جامع التحف الغامضة"
"heroes.name_fancy.shadow_melancholia","مساعد كبار السن"
"heroes.name_fancy.shadow_omen","مقدس من شعب الشيطان"
"heroes.name_fancy.shadow_penelope","أمينة المكتبة السابقة الشرسة"
"heroes.name_fancy.shadow_rashan","مستخدم معدن هولو"
"heroes.name_fancy.shadow_rosanna","المخلصة"
"heroes.name_fancy.shadow_salvatore","وسيط معقد"
"heroes.name_fancy.shadow_shoggo","قائد المتحولين"
"heroes.name_fancy.shadow_wulfstan","حرفي ذخيرة الشعوذة"
"heroes.name_fancy.shadow_zavinia","هجين الأعماق"
"heroes.name_fancy.slayer_aodhan","المحترق"
"heroes.name_fancy.slayer_caitlin","المستنيرة"
"heroes.name_fancy.slayer_caitlin_costume_crusader","الصليبي العدلي"
"heroes.name_fancy.slayer_cathal","الشجاع"
"heroes.name_fancy.slayer_cillian","الخالد"
"heroes.name_fancy.slayer_maeve","الخفي"
"heroes.name_fancy.slayer_noril","الشرس"
"heroes.name_fancy.slayer_orla","النبيل"
"heroes.name_fancy.slayer_rian","الصامد"
"heroes.name_fancy.slayer_saoirse","المتوحشة"
"heroes.name_fancy.slayer_saoirse_costume_knight","القاهر"
"heroes.name_fancy.slayer_senan","البغيض"
"heroes.name_fancy.slayer_senan_costume_tentacles","الخادم الرأسي"
"heroes.name_fancy.slime_achillea","سلايم المصارع المغوار"
"heroes.name_fancy.slime_boboosang","سلايم البائع المتجول المسن"
"heroes.name_fancy.slime_bulklug","سلايم بنَّاء الكرات"
"heroes.name_fancy.slime_charmione","غراء مسرح ساحرة"
"heroes.name_fancy.slime_chingiriko","سلايم مطارد الظل"
"heroes.name_fancy.slime_choozen","سلايم صندوق الخجول"
"heroes.name_fancy.slime_fruitio","سلايم محب الفاكهة"
"heroes.name_fancy.slime_fungustine","سلايم الغابة المتجدد"
"heroes.name_fancy.slime_gloozmer","سلايم المخادع اللطيف"
"heroes.name_fancy.slime_goldrip","سلايم الملك الذهبي"
"heroes.name_fancy.slime_gooldron","سلايم القدر الغريب"
"heroes.name_fancy.slime_goorian","الحمأة البربرية"
"heroes.name_fancy.slime_gooric","غراء الملاذ الحكيم"
"heroes.name_fancy.slime_gooze","غراء معمل الخيمياء الهارب"
"heroes.name_fancy.slime_gunktus","كرة المعركة العنيدة"
"heroes.name_fancy.slime_harubo","سلايم الدورية"
"heroes.name_fancy.slime_justico","سلايم الحارس"
"heroes.name_fancy.slime_knightus","سلايم المعبد الفارس"
"heroes.name_fancy.slime_labblub","سلايم العالم الفضولي"
"heroes.name_fancy.slime_magistine","سلايم صناعة التعويذة"
"heroes.name_fancy.slime_mucktus","كرة الغابة الشريرة"
"heroes.name_fancy.slime_slaymire","سلايم العنيد المنفذ"
"heroes.name_fancy.slime_slimgo","سلايم متمرد مخادع"
"heroes.name_fancy.slime_sliposi","سلايم ساعي البريد الزلق"
"heroes.name_fancy.slime_sludgus","سلايم الحانة المغني"
"heroes.name_fancy.slime_verdigoo","حكم الزمرد اللزج"
"heroes.name_fancy.slime_zestique","سلايم الخجول اللطيف"
"heroes.name_fancy.styx_amphitrite","سيدة البحر العظيمة"
"heroes.name_fancy.styx_arges","وحيد العين تاجر الجرعات"
"heroes.name_fancy.styx_brontes","وحيد العين المزارع"
"heroes.name_fancy.styx_charon","بحار ستيكس"
"heroes.name_fancy.styx_dante","مغامر العالم السفلي"
"heroes.name_fancy.styx_erebus","سيد الظلام العميق"
"heroes.name_fancy.styx_hypnos","سيد النوم"
"heroes.name_fancy.styx_nemesis","سيدة الانتقام الإلهي"
"heroes.name_fancy.styx_nyx","ليلة الأم"
"heroes.name_fancy.styx_steropes","وحيد العين الفنان"
"heroes.name_fancy.styx_thanatos","سيد موت السلام"
"heroes.name_fancy.styx_virgil","مرشد إلى العالم السفلي"
"heroes.name_fancy.tales1_aqualith","هوبليت العناصر"
"heroes.name_fancy.tales1_aqualith_costume_purple","تمثال عنصري ضخم"
"heroes.name_fancy.tales1_atlanteia","أميرة حوريات جليد الأعماق"
"heroes.name_fancy.tales1_atlanteia_costume_siren","جنية جليد الأعماق"
"heroes.name_fancy.tales1_bagreg","الرجل السمكة قائد المناوشات"
"heroes.name_fancy.tales1_bagreg_costume_scout","كشافة السمك"
"heroes.name_fancy.tales1_ceto","إلهة الوحوش البحرية الأزلية"
"heroes.name_fancy.tales1_ceto_costume_queen","ملكة الوحوش البحرية الأزلية"
"heroes.name_fancy.tales1_domiventus","كائن الأعماق الأزلي"
"heroes.name_fancy.tales1_domiventus_costume_supreme","كائن الأعماق الأعظم"
"heroes.name_fancy.tales1_ephyra","أميرة الحوريات"
