"herocard.passive_skill.description.addmana.all.allies","Tüm müttefikler küçük bir miktar mana kazanırlar."
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Canavar Çağrısında Mana"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","Evcil Hayvanları Gazabı"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","Canavar Çağrısında Sağlık Artışı"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","Hizmetkar Kör Etme"
"herocard.passive_skill.title.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core","Hizmetkar Merkezi"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","Zayıf Mega Hizmetkarlar"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","Zayıf Hizmetkarlar"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","Mega Hizmetkarları Durdur"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","Hizmetkarları Durdur"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","Ayazda Mana"
"herocard.passive_skill.title.glass_reflect_debuffs","Cam"
"herocard.passive_skill.title.growth","Büyüme"
"herocard.passive_skill.title.guaranteedeffectonspecial","Özel Yetenekte Garantili Efekt"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","Azaltılmış şifa"
"herocard.passive_skill.title.healonheal.heal","Ekstra ŞİFA"
"herocard.passive_skill.title.healonownfamiliardeath.minion","Ölü Hizmetkardan Gelen Sağlık"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","Ölü Hizmetkardan Gelen Güçlendirilmiş Sağlık"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","Doğa Olmayan Düşman başına Artırılan Saldırı"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","Ateş Olmayan Düşman başına Artırılmış Saldırı"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","Hizmetkarlara ve Mega Hizmetkarlara Ekstra Hasar"
"herocard.passive_skill.title.increaseddamageagainstminions","Hizmetkarlara Karşı Artırılmış Hasar"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","Alaya Karşı Artırılmış Hasar"
"herocard.passive_skill.title.increasespecialdamage","Artırılmış Özel Yetenek Hasarı"
"herocard.passive_skill.title.increasespecialdamage.usable_once","Artırılmış Özel Yetenek Hasarı"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","Artırılmış Özel Yetenek Hasarı"
"herocard.passive_skill.title.insanitydamagereduction","Eskilerin İşaretlediği"
"herocard.passive_skill.title.iterateeffectonspecial","Özel Yetenekteki Efektler için Ekstra Şans"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","Lig Dezavantajı"
"herocard.passive_skill.title.league_featured_family_resist","Lig Avantajı"
"herocard.passive_skill.title.league_heal_modifier_against_family","Lig Dezavantajı"
"herocard.passive_skill.title.league_heal_modifier_for_family","Lig Avantajı"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","Lig Avantajı"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","Manayı Engelle"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","Hizmetkar Ölümünde Mana"
"herocard.passive_skill.title.manaonstatuseffect.debuff","Engellerden gelen mana"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","Düşman Hizmetkarlarını ve Canavarlarını Ezberle"
"herocard.passive_skill.title.memorizestatuseffects","Durum Engellerini Ezberle"
"herocard.passive_skill.title.mimic_dread_damage_minions","Dehşet"
"herocard.passive_skill.title.mimiclootonlevelcompleted","Taklit Ganimeti"
"herocard.passive_skill.title.nevermissspecial","Mükemmel İsabetlilik"
"herocard.passive_skill.title.ransack","Hırsızın Fırsatı"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","Buff'ı Çal"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","Avcı Hissi"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","Birlik Ustalığı"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage.increase.dragon","Güçlü Ateş Topu Hasarı Artışı"
"herocard.passive_skill.title.redirectlethaldamage.enemies.single","Ölümü Atlat"
"herocard.passive_skill.title.remove_growth_from_enemies","Muhafız Seferberliği"
"herocard.passive_skill.title.remove_wither_from_allies","Muhafız Seferberliği"
"herocard.passive_skill.title.repaircoreintrinsicchargeeffectonspecial.healthboost","Onarım Merkezi"
"herocard.passive_skill.title.repeat_special_once","Şanslı"
"herocard.passive_skill.title.resist.accuracymodifiers","Körlük Direnci"
"herocard.passive_skill.title.resist.alldebuffs","Durum Engellerine Karşı Direnç"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","Tüm Engellere Karşı Direnç"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","Uç Direniş"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","Savunma Engellerine Karşı Direnç"
"herocard.passive_skill.title.resist.alldefensemodifiers.defensewither.alldebuffs","Savunma Azaltmasına Karşı Direnç"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","Mana Engellerine Karşı Direnç"
"herocard.passive_skill.title.resist.allmanaeffects.manareduction.alldebuffs","Olumsuz Mana Efektlerine Direnç"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","Durum Efektlerinden alınan Hasara Direnç"
"herocard.passive_skill.title.resist.attackdelay","Saldırı Geciktirmeye Karşı Direnç"
"herocard.passive_skill.title.resist.attackmodifiers","Saldırı Engellerine Karşı Direnç"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","Saldırı Durum Efektlerine Direnç"
"herocard.passive_skill.title.resist.attackmodifiers.attackwither.alldebuffs","Saldırı Azaltmasına Direnç"
"herocard.passive_skill.title.resist.bleed","Kanama Direnci"
"herocard.passive_skill.title.resist.bleed.with_effect.healthboost.addmana","Güçlü Kanama Direnci"
"herocard.passive_skill.title.resist.buffdispels","Bozma Direnci"
"herocard.passive_skill.title.resist.buffimmunity","Buff Engelleme Direnci"
"herocard.passive_skill.title.resist.burn","Yakma Direnci"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","Güçlü Yakma Direnci"
"herocard.passive_skill.title.resist.criticalhits.none","Kritik Darbe Direnci"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","Savunma Engellerine Karşı Direnç"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Durdurulamaz Hizmetkarlar"
"herocard.passive_skill.title.resist.frost","Ayaz Direnci"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","Güçlü Ayaz Direnci"
"herocard.passive_skill.title.resist.healeffects","Sağlık Engellerine Karşı Direnç"
"herocard.passive_skill.title.resist.healthsteal","Sağlık Çalma Engellerine Direnç"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","Deliliğe Direnç"
"herocard.passive_skill.title.resist.manadebuffs","Mana Engellerine Karşı Direnç"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","Mana Engelleri ve Özel Yetenek Engelleme Direnci"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","Mana Üretimi Engellerine Direnç"
"herocard.passive_skill.title.resist.manareduction","Mana Azalmasına Karşı Direnç"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","Mana Azalmasına Karşı Güçlü Direnç"
"herocard.passive_skill.title.resist.maxhealthreduction","Maks. Sağlık Azalmasına Karşı Direnç"
"herocard.passive_skill.title.resist.poison","Zehir Direnci"
"herocard.passive_skill.title.resist.poison.burn.bleed","Zehre, Yakmaya ve Kanamaya Diren"
"herocard.passive_skill.title.resist.possession.allstatuseffects","Ele Geçirmeye Direnç"
"herocard.passive_skill.title.resist.sand","Kum Direnci"
"herocard.passive_skill.title.resist.specialblocking","Özel Yetenek Engellerine Karşı Direnç"
"herocard.passive_skill.title.resist.specialblocking.with_effect.healthboost.addmana","Güçlü Özel Yetenek Engelleme Direnci"
"herocard.passive_skill.title.resist.stopmanageneration","Mana Üretimi Durdurulmasına Karşı Direnç"
"herocard.passive_skill.title.resist.water","Su Direnci"
"herocard.passive_skill.title.resist_all_defense_effects","Vasıf: 
Esnek Gövde"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","Hizmetkarlardan Gelen Durum Engellerine Direnç"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","Hizmetkar Kaldırmaya Direnç"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","Olumsuz Hizmetkar Efektlerine Direnç"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","Olumsuz Hizmetkar Efektlerine Üstün Direnç"
"herocard.passive_skill.title.resistnewfamiliars.parasite","Canavarlara diren"
"herocard.passive_skill.title.resistnewfamiliars.parasite.bigparasite","Canavar ve Mega Canavarlara Direnç"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","Durum Engellerine Karşı Direnç"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","Dirilme Şansı Azaltması"
"herocard.passive_skill.title.revivalhealthmodifier.all.enemies.excluding.boss","Diriltme Sağlık Düşüşü"
"herocard.passive_skill.title.revive_chance_nine_lives","Dokuz Can"
"herocard.passive_skill.title.reviveinalternativeformwithinsanitychance","Tuhaf Pakt"
"herocard.passive_skill.title.revivewithchance","Diriltme"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Hızlı Tempo: Balat"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Hızlı Tempo: Dans"
"herocard.passive_skill.title.sharereceiveddamage","Alınan Hasarı Paylaş"
"herocard.passive_skill.title.short.generic","Pasif"
"herocard.passive_skill.title.short.league","Avantaj"
"herocard.passive_skill.title.short.league.non_featured","Dezavantaj"
"herocard.passive_skill.title.short.trait","Vasıf"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","Elementer Maskesi"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","Birlik Ustalığı"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","Birlik Ustalığı"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_blue_on_special_titan_hunter_parent","Özel Yetenekte Gelişmiş Kalkanlar"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_green_on_special_titan_hunter_parent","Özel Yetenekte Gelişmiş Kalkanlar"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_purple_on_special_titan_hunter_parent","Özel Yetenekte Gelişmiş Kalkanlar"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_red_on_special_titan_hunter_parent","Özel Yetenekte Gelişmiş Kalkanlar"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_yellow_on_special_titan_hunter_parent","Özel Yetenekte Gelişmiş Kalkanlar"
"herocard.passive_skill.title.specialdamagereduction","Özel Yetenek Hasar Azaltması"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","Özel Yetenek Hasar Azaltması"
"herocard.passive_skill.title.startbattlewitheffect.addmana","Savaşa Mana İle Başla"
"herocard.passive_skill.title.statmodifier.attack","Vahşi"
"herocard.passive_skill.title.statmodifier.defense","Kabuklu"
"herocard.passive_skill.title.statmodifier.health","Dayanıklı"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","Durum Efekti Saldırısını Artır"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","Saldırı Engeli Azaltması"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","Saldırı Engeli Azaltması"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","Durum Efekti Saldırısını Artır"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","Saldırı Engeli Azaltması"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","Durum Efekti Savunmasını Artır"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","Savunma Engeli Azaltması"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","Savunma Engeli Azaltması"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","Durum Efekti Savunmasını Artır"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","Savunma Engeli Azaltması"
"herocard.passive_skill.title.statuseffectdurationmodifier","Buff Süresini Artır"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Engel Süresini Azalt"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Savunma Engeli Süresini Azalt"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Buff Süresini Artır"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","Arındırmada Kopya Engel"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","Avcının Gücü"
"herocard.passive_skill.title.statuseffectonspecialcast.damageonhitreceived","Titan Avcısının İşareti"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","Yaratığın Yumuşak Derisi"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","Yaratığın Taş Derisi"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","Engellerden Gelen Mana Üretimi Buff'ı"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","Elementer Maskesi"
"herocard.passive_skill.title.stylish","Şık!"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies","Fide Ulağı"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Fide Ulağı"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Fide Ulağı"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Yenilgide Balçık Hizmetkarı"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Yenilgide Balçık Hizmetkarı"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Yenilgide Balçık Hizmetkarı"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Yenilgide Balçık Hizmetkarı"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Yenilgide Balçık Hizmetkarı"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","Balçık Hizmetkarı Yarılması"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","Balçık Hizmetkarı Yarılması"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","Balçık Hizmetkarı Yarılması"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","Balçık Hizmetkarı Yarılması"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Balçık Hizmetkarı Yarılması"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","Yakmada Çağır"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","Zamanala Hasarda Çağırma"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","Savunma Engelinde Hizmetkar Çağır"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","Serçe Çağıran"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Lanetli Fidan Çağıran"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Fide Ulak"
"herocard.passive_skill.title.taunt","Alayı Yok Say"
"herocard.passive_skill.title.titan_dread_damage_minions","Dehşet"
"herocard.passive_skill.title.titan_dread_damage_minions_15","Dehşet"
"herocard.passive_skill.title.titan_dread_damage_minions_16","Dehşet"
"herocard.passive_skill.title.titan_dread_damage_minions_17","Dehşet"
"herocard.passive_skill.title.titan_resist_15","Titan"
"herocard.passive_skill.title.titan_resist_16","Titan"
"herocard.passive_skill.title.titan_resist_17","Titan"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","Çizgi Film"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","Buff'ları Dönüştür"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Buff'ları Dönüştür"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Engelleri Dönüştür"
"herocard.passive_skill.title.wither.all.enemies","Soldurma"
