"herocard.passive_skill.description.addmana.all.allies","Alle bondgenoten krijgen er een kleine hoeveelheid mana bij."
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","Troepenmeesterschap"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage.increase.dragon","Sterke toename vuurbalschade"
"herocard.passive_skill.title.redirectlethaldamage.enemies.single","Ontsnap aan de dood"
"herocard.passive_skill.title.remove_growth_from_enemies","Wachtergroepering"
"herocard.passive_skill.title.remove_wither_from_allies","Wachtergroepering"
"herocard.passive_skill.title.repaircoreintrinsicchargeeffectonspecial.healthboost","Reparatiekern"
"herocard.passive_skill.title.repeat_special_once","Gelukkig"
"herocard.passive_skill.title.resist.accuracymodifiers","Blindheid weerstaan"
"herocard.passive_skill.title.resist.alldebuffs","Weerstand tegen statuseffecten"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","Weerstaat alle effecten"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","Apexweerstand"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","Verdedigingskwalen weerstaan"
"herocard.passive_skill.title.resist.alldefensemodifiers.defensewither.alldebuffs","Weerstaat verdedigingsreductie"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","Weerstaat mana-effecten"
"herocard.passive_skill.title.resist.allmanaeffects.manareduction.alldebuffs","Weerstaat negatieve manaeffecten"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","Weersta schade uit statuseffecten"
"herocard.passive_skill.title.resist.attackdelay","Weerstaat uitstel van aanval"
"herocard.passive_skill.title.resist.attackmodifiers","Weerstaat aanvalseffecten"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","Weerstand tegen aanval-statuseffecten"
"herocard.passive_skill.title.resist.attackmodifiers.attackwither.alldebuffs","Weerstand tegen aanvalsvermindering"
"herocard.passive_skill.title.resist.bleed","Weerstand tegen bloed"
"herocard.passive_skill.title.resist.bleed.with_effect.healthboost.addmana","Versterkte weerstand tegen bloed"
"herocard.passive_skill.title.resist.buffdispels","Verwijderen van oppeppers weerstaan"
"herocard.passive_skill.title.resist.buffimmunity","Weerstand tegen blokkering van oppeppers"
"herocard.passive_skill.title.resist.burn","Brandwonden weerstaan"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","Versterkte weerstand tegen brandwonden"
"herocard.passive_skill.title.resist.criticalhits.none","Weerstaat kritieke treffers"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","Verdedigingskwalen weerstaan"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Onstopbare volgelingen"
"herocard.passive_skill.title.resist.frost","Weerstand tegen vorst"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","Versterkte weerstand tegen vorst"
"herocard.passive_skill.title.resist.healeffects","Weerstaat statuseffecten voor genezing"
"herocard.passive_skill.title.resist.healthsteal","Gezondheidsstelende effecten weerstaan"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","Waanzin weerstaan"
"herocard.passive_skill.title.resist.manadebuffs","Weerstaat mana-effecten"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","Weerstand tegen mana-aandoeningen en blokkering van speciale vaardigheden"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","Weerstaat manarecuperatie-effecten"
"herocard.passive_skill.title.resist.manareduction","Weerstaat rechtstreekse manavermindering"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","Weerstaat meer rechtstreekse manavermindering"
"herocard.passive_skill.title.resist.maxhealthreduction","Weerstaat maximale gezondheidsvermindering"
"herocard.passive_skill.title.resist.poison","Gif weerstaan"
"herocard.passive_skill.title.resist.poison.burn.bleed","Weerstand tegen gif, vuur en bloeden"
"herocard.passive_skill.title.resist.possession.allstatuseffects","Weerstand tegen bezetenheid"
"herocard.passive_skill.title.resist.sand","Weerstand tegen zand"
"herocard.passive_skill.title.resist.specialblocking","Blokkeren van speciale vaardigheden weerstaan"
"herocard.passive_skill.title.resist.specialblocking.with_effect.healthboost.addmana","Versterkte weerstand tegen blokkeren van speciale vaardigheden"
"herocard.passive_skill.title.resist.stopmanageneration","Weerstaat manarecuperatie-effecten"
"herocard.passive_skill.title.resist.water","Weerstand tegen water"
"herocard.passive_skill.title.resist_all_defense_effects","Kenmerk: 
wendbaar"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","Weerstand tegen statuseffecten van volgelingen"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","Weerstaat het verwijderen van volgelingen"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","Weerstaat negatieve effecten van volgelingen"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","Superieure weerstand tegen negatieve effecten van volgelingen"
"herocard.passive_skill.title.resistnewfamiliars.parasite","Demonen weerstaan"
"herocard.passive_skill.title.resistnewfamiliars.parasite.bigparasite","Weerstand tegen demonen en megademonen"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","Weerstand tegen statuseffecten"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","Vermindering van kans op reactiveren"
"herocard.passive_skill.title.revivalhealthmodifier.all.enemies.excluding.boss","Verminderd herstel van gezondheid"
"herocard.passive_skill.title.revive_chance_nine_lives","Negen levens"
"herocard.passive_skill.title.reviveinalternativeformwithinsanitychance","Eldritch-verbond"
"herocard.passive_skill.title.revivewithchance","Terugkeer"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Snel tempo: ballade"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Snel tempo: dans"
"herocard.passive_skill.title.sharereceiveddamage","Deel opgelopen schade"
"herocard.passive_skill.title.short.generic","Passief"
"herocard.passive_skill.title.short.league","Voordeel"
"herocard.passive_skill.title.short.league.non_featured","Nadeel"
"herocard.passive_skill.title.short.trait","Kenmerk"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","Elementenmasker"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","Troepenmeesterschap"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","Troepenmeesterschap"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_blue_on_special_titan_hunter_parent","Verbeterde schilden bij special"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_green_on_special_titan_hunter_parent","Verbeterde schilden bij special"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_purple_on_special_titan_hunter_parent","Verbeterde schilden bij special"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_red_on_special_titan_hunter_parent","Verbeterde schilden bij special"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_yellow_on_special_titan_hunter_parent","Verbeterde schilden bij special"
"herocard.passive_skill.title.specialdamagereduction","Schadereductie speciale vaardigheid"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","Schadereductie speciale vaardigheid"
"herocard.passive_skill.title.startbattlewitheffect.addmana","Gevecht starten met mana"
"herocard.passive_skill.title.statmodifier.attack","Woest"
"herocard.passive_skill.title.statmodifier.defense","Gepantserd"
"herocard.passive_skill.title.statmodifier.health","Veerkrachtig"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","Statuseffect aanvalskracht verhogen"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","Reductie aanvalsaandoening"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","Reductie aanvalsaandoening"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","Statuseffect aanvalskracht verhogen"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","Reductie aanvalsaandoening"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","Statuseffect verdediging verhogen"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","Vermindering van verdedigingskwaal"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","Vermindering van verdedigingskwaal"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","Statuseffect verdediging verhogen"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","Vermindering van verdedigingskwaal"
"herocard.passive_skill.title.statuseffectdurationmodifier","Langere duur oppepper"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Kortere duur statuseffect"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Kortere duur verdedigingsstatuseffect"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Langere duur oppepper"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","Kopieer aandoening bij zuivering"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","Kracht van de jager"
"herocard.passive_skill.title.statuseffectonspecialcast.damageonhitreceived","Markering van de titanenjager"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","Zachte huid van de gargouille"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","Steenhuid van de gargouille"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","Manarecuperatie-oppepper door effecten"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","Elementenmagie"
"herocard.passive_skill.title.stylish","Stijlvol!"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies","Zaailingaanroeper"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Zaailingaanroeper"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies","Zaailingaanroeper"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Zaailingaanroeper"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","Zaailingaanroeper"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","Zaailingaanroeper"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Slijmvolgeling na nederlaag"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Slijmvolgeling na nederlaag"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Slijmvolgeling na nederlaag"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Slijmvolgeling na nederlaag"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Slijmvolgeling na nederlaag"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","Slijmvolgelingensplitsing"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","Slijmvolgelingensplitsing"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","Slijmvolgelingensplitsing"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","Slijmvolgelingensplitsing"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Slijmvolgelingensplitsing"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","Aanroepen bij brand"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","Aanroep bij geleidelijke schade"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","Roept volgeling aan bij verdedigingsstatuseffect"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","Musaanroeper"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Vervloekte boomstekaanroeper"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Zaailingaanroeper"
"herocard.passive_skill.title.targetstatedependenteffectonspecial.healthboost.checkstate.all.allies.dance","Elegante danser"
"herocard.passive_skill.title.taunt","Uitlokking weerstaan"
"herocard.passive_skill.title.titan_dread_damage_minions","Afschrikwekkend"
"herocard.passive_skill.title.titan_dread_damage_minions_15","Afschrikwekkend"
"herocard.passive_skill.title.titan_dread_damage_minions_16","Afschrikwekkend"
"herocard.passive_skill.title.titan_dread_damage_minions_17","Afschrikwekkend"
"herocard.passive_skill.title.titan_resist_15","Titanen"
"herocard.passive_skill.title.titan_resist_16","Titanen"
"herocard.passive_skill.title.titan_resist_17","Titanen"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","Toon"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","Omgezette oppeppers"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Omgezette oppeppers"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Omgezette aandoeningen"
"herocard.passive_skill.title.wither.all.enemies","Verwelken"
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies","Roept elke beurt een [#!]zaailingdemon[#] aan voor een willekeurige vijand.
[*]De [#!]zaailingdemon[#] ontwikkelt zich tot een [#!]scheutdemon[#] na {EVOLVINGFAMILIAR1EVOLVETURNS} beurten.
[*]De [#!]scheutdemon[#] ontwikkelt zich tot een [#!]bloesemmegademon[#] na {EVOLVINGFAMILIAR2EVOLVETURNS} beurten.
[*]Elke keer dat demonen gezondheid absorberen, wordt hun evolutie vertraagd met {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} beurt.

[#!]Zaailingdemon[#]: 
[#!]{EVOLVINGFAMILIAR1FAMILIARATTACK}%[#] aanval, [#!]{EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}%[#] gezondheid.

[#!]Scheutdemon[#]: 
[#!]{EVOLVINGFAMILIAR2FAMILIARATTACK}%[#] aanval, [#!]{EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}%[#] gezondheid.

[#!]Bloesemmegademon[#]: 
[#!]{EVOLVINGFAMILIAR3FAMILIARATTACK}%[#] aanval, [#!]{EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}%[#] gezondheid."
